,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
3378,664,664.0,1.0,1.0,1410.0,475.0,0.03,1.0,3.0,400.0,0.997,1.0,5.769878792798129,505,179,297
816,184,184.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,400.0,0.997,1.0,5.948627034617602,505,17,297
1614,344,344.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,400.0,0.997,1.0,5.821970094481975,505,15,297
30,24,24.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.997,1.0,6.431319406374731,505,31,297
2454,504,504.0,1.0,1.0,1068.0,475.0,0.03,1.0,3.0,400.0,0.997,1.0,5.771626327712915,505,55,297
3356,663,663.0,1.0,1.0,1410.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,5.762099068475822,504,157,313
1608,343,343.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,5.814759940399344,504,9,313
806,183,183.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,5.912464618179765,504,7,313
65,23,23.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,6.524859472206456,504,66,313
2473,503,503.0,1.0,1.0,1068.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,5.780841691395979,504,74,313
3381,662,662.0,1.0,1.0,1410.0,475.0,0.03,1.0,3.0,400.0,0.993,1.0,5.773279551441042,503,182,342
53,22,22.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.993,1.0,6.513161400809538,503,54,342
811,182,182.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,400.0,0.993,1.0,5.934693445971599,503,12,342
1621,342,342.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,400.0,0.993,1.0,5.830748736119416,503,22,342
2471,502,502.0,1.0,1.0,1068.0,475.0,0.03,1.0,3.0,400.0,0.993,1.0,5.780178500408827,503,72,342
807,192,192.0,1.0,1.0,356.0,475.0,0.03,1.0,4.0,400.0,0.993,1.0,5.9168144160895615,513,8,371
43,32,32.0,1.0,1.0,142.0,475.0,0.03,1.0,4.0,400.0,0.993,1.0,6.477175714266881,513,44,371
1691,352,352.0,1.0,1.0,712.0,475.0,0.03,1.0,4.0,400.0,0.993,1.0,5.90779634214716,513,92,371
3331,672,672.0,1.0,1.0,1410.0,475.0,0.03,1.0,4.0,400.0,0.993,1.0,5.752210875775979,513,132,371
2494,512,512.0,1.0,1.0,1068.0,475.0,0.03,1.0,4.0,400.0,0.993,1.0,5.787455642235456,513,95,371
99,17,17.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,6.557963326629321,498,100,413
845,177,177.0,1.0,1.0,356.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,6.048985817644228,498,46,413
3340,657,657.0,1.0,1.0,1410.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,5.754041742658746,498,141,413
1624,337,337.0,1.0,1.0,712.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,5.842757422160808,498,25,413
2500,497,497.0,1.0,1.0,1068.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,5.789529514279244,498,101,413
236,28,28.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,600.0,0.995,1.0,6.634616182070976,509,237,421
825,188,188.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,600.0,0.995,1.0,5.9832149042772045,509,26,421
3288,668,668.0,1.0,1.0,1410.0,475.0,0.03,1.0,3.0,600.0,0.995,1.0,5.72349432646445,509,89,421
1616,348,348.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,600.0,0.995,1.0,5.823646925025302,509,17,421
2451,508,508.0,1.0,1.0,1068.0,475.0,0.03,1.0,3.0,600.0,0.995,1.0,5.77004458146157,509,52,421
94,18,18.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,6.556034392313874,499,95,440
2541,498,498.0,1.0,1.0,1068.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,5.805178934081767,499,142,440
852,178,178.0,1.0,1.0,356.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,6.0626861802705365,499,53,440
3343,658,658.0,1.0,1.0,1410.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,5.75460687681811,499,144,440
1605,338,338.0,1.0,1.0,712.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,5.809044124697548,499,6,440
1649,355,355.0,1.0,1.0,712.0,475.0,0.07,1.0,4.0,600.0,0.97,1.0,5.872224251028376,676,50,452
85,35,35.0,1.0,1.0,142.0,475.0,0.07,1.0,4.0,600.0,0.97,1.0,6.546622138715407,676,86,452
2596,515,515.0,1.0,1.0,1068.0,475.0,0.07,1.0,4.0,600.0,0.97,1.0,5.824387831141435,676,197,452
918,195,195.0,1.0,1.0,356.0,475.0,0.07,1.0,4.0,600.0,0.97,1.0,6.16361731491172,676,119,452
803,193,193.0,1.0,1.0,356.0,475.0,0.03,1.0,4.0,400.0,0.995,1.0,5.900998064546233,514,4,462
61,33,33.0,1.0,1.0,142.0,475.0,0.03,1.0,4.0,400.0,0.995,1.0,6.521685136943091,514,62,462
