,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
1641,467,467.0,1.0,1.0,712.0,475.0,0.01,4.0,3.0,600.0,0.993,1.0,74.95255484159904,468,42,205
908,307,307.0,1.0,1.0,356.0,475.0,0.01,4.0,3.0,600.0,0.993,1.0,77.97922202774619,468,109,205
3210,787,787.0,1.0,1.0,1410.0,475.0,0.01,4.0,3.0,600.0,0.993,1.0,70.64264173326617,468,11,205
2418,627,627.0,1.0,1.0,1068.0,475.0,0.01,4.0,3.0,600.0,0.993,1.0,72.39014081120655,468,19,205
23,147,147.0,1.0,1.0,142.0,475.0,0.01,4.0,3.0,600.0,0.993,1.0,83.45701917300907,468,24,205
914,306,306.0,1.0,1.0,356.0,475.0,0.01,4.0,3.0,600.0,0.99,1.0,78.03470505571666,467,115,217
2408,626,626.0,1.0,1.0,1068.0,475.0,0.01,4.0,3.0,600.0,0.99,1.0,72.11596085468477,467,9,217
1656,466,466.0,1.0,1.0,712.0,475.0,0.01,4.0,3.0,600.0,0.99,1.0,75.07126138291768,467,57,217
30,146,146.0,1.0,1.0,142.0,475.0,0.01,4.0,3.0,600.0,0.99,1.0,83.58376154869751,467,31,217
3204,786,786.0,1.0,1.0,1410.0,475.0,0.01,4.0,3.0,600.0,0.99,1.0,70.39378167995058,467,5,217
2417,636,636.0,1.0,1.0,1068.0,475.0,0.01,4.0,4.0,600.0,0.99,1.0,72.37099046109012,477,18,224
3201,796,796.0,1.0,1.0,1410.0,475.0,0.01,4.0,4.0,600.0,0.99,1.0,70.26340746604706,477,2,224
923,316,316.0,1.0,1.0,356.0,475.0,0.01,4.0,4.0,600.0,0.99,1.0,78.19808979678409,477,124,224
43,156,156.0,1.0,1.0,142.0,475.0,0.01,4.0,4.0,600.0,0.99,1.0,83.89366354537188,477,44,224
1635,476,476.0,1.0,1.0,712.0,475.0,0.01,4.0,4.0,600.0,0.99,1.0,74.83509358933776,477,36,224
3202,784,784.0,1.0,1.0,1410.0,475.0,0.03,4.0,3.0,400.0,0.997,1.0,70.27340713744768,625,3,227
1602,464,464.0,1.0,1.0,712.0,475.0,0.03,4.0,3.0,400.0,0.997,1.0,73.67476530912649,625,3,227
943,304,304.0,1.0,1.0,356.0,475.0,0.03,4.0,3.0,400.0,0.997,1.0,78.46650832915556,625,144,227
2401,624,624.0,1.0,1.0,1068.0,475.0,0.03,4.0,3.0,400.0,0.997,1.0,71.5897395410141,625,2,227
74,144,144.0,1.0,1.0,142.0,475.0,0.03,4.0,3.0,400.0,0.997,1.0,84.40333579333446,625,75,227
33,148,148.0,1.0,1.0,142.0,475.0,0.01,4.0,3.0,600.0,0.995,1.0,83.6060177171192,469,34,253
872,308,308.0,1.0,1.0,356.0,475.0,0.01,4.0,3.0,600.0,0.995,1.0,77.54364690489291,469,73,253
3211,788,788.0,1.0,1.0,1410.0,475.0,0.01,4.0,3.0,600.0,0.995,1.0,70.72538441648666,469,12,253
1708,468,468.0,1.0,1.0,712.0,475.0,0.01,4.0,3.0,600.0,0.995,1.0,75.40744213613763,469,109,253
2424,628,628.0,1.0,1.0,1068.0,475.0,0.01,4.0,3.0,600.0,0.995,1.0,72.46113603357307,469,25,253
2404,614,614.0,1.0,1.0,1068.0,475.0,0.03,4.0,2.0,400.0,0.997,1.0,71.83490132080718,615,5,256
3203,774,774.0,1.0,1.0,1410.0,475.0,0.03,4.0,2.0,400.0,0.997,1.0,70.31449022863727,615,4,256
1612,454,454.0,1.0,1.0,712.0,475.0,0.03,4.0,2.0,400.0,0.997,1.0,74.18700945159992,615,13,256
57,134,134.0,1.0,1.0,142.0,475.0,0.03,4.0,2.0,400.0,0.997,1.0,84.06504593970453,615,58,256
975,294,294.0,1.0,1.0,356.0,475.0,0.03,4.0,2.0,400.0,0.997,1.0,78.68356971455347,615,176,256
1685,469,469.0,1.0,1.0,712.0,475.0,0.01,4.0,3.0,600.0,0.997,1.0,75.28064616707942,470,86,281
2421,629,629.0,1.0,1.0,1068.0,475.0,0.01,4.0,3.0,600.0,0.997,1.0,72.43404006225569,470,22,281
3225,789,789.0,1.0,1.0,1410.0,475.0,0.01,4.0,3.0,600.0,0.997,1.0,71.10028295628179,470,26,281
907,309,309.0,1.0,1.0,356.0,475.0,0.01,4.0,3.0,600.0,0.997,1.0,77.97565429048359,470,108,281
38,149,149.0,1.0,1.0,142.0,475.0,0.01,4.0,3.0,600.0,0.997,1.0,83.78107990838674,470,39,281
905,266,266.0,1.0,1.0,356.0,475.0,0.01,3.0,3.0,600.0,0.99,1.0,77.94785441755592,427,106,285
22,106,106.0,1.0,1.0,142.0,475.0,0.01,3.0,3.0,600.0,0.99,1.0,83.44065380244791,427,23,285
3264,746,746.0,1.0,1.0,1410.0,475.0,0.01,3.0,3.0,600.0,0.99,1.0,71.83986229159697,427,65,285
2459,586,586.0,1.0,1.0,1068.0,475.0,0.01,3.0,3.0,600.0,0.99,1.0,73.02010951357222,427,60,285
1630,426,426.0,1.0,1.0,712.0,475.0,0.01,3.0,3.0,600.0,0.99,1.0,74.80648358778288,427,31,285
2430,596,596.0,1.0,1.0,1068.0,475.0,0.01,3.0,4.0,600.0,0.99,1.0,72.6221824796917,437,31,309
1629,436,436.0,1.0,1.0,712.0,475.0,0.01,3.0,4.0,600.0,0.99,1.0,74.79849165512705,437,30,309
910,276,276.0,1.0,1.0,356.0,475.0,0.01,3.0,4.0,600.0,0.99,1.0,78.01485319778014,437,111,309
76,116,116.0,1.0,1.0,142.0,475.0,0.01,3.0,4.0,600.0,0.99,1.0,84.4530200218007,437,77,309
3259,756,756.0,1.0,1.0,1410.0,475.0,0.01,3.0,4.0,600.0,0.99,1.0,71.79255305393318,437,60,309
3212,797,797.0,1.0,1.0,1410.0,475.0,0.01,4.0,4.0,600.0,0.993,1.0,70.74635422391835,478,13,316
2406,637,637.0,1.0,1.0,1068.0,475.0,0.01,4.0,4.0,600.0,0.993,1.0,72.05385966577653,478,7,316
66,157,157.0,1.0,1.0,142.0,475.0,0.01,4.0,4.0,600.0,0.993,1.0,84.27229539270857,478,67,316
967,317,317.0,1.0,1.0,356.0,475.0,0.01,4.0,4.0,600.0,0.993,1.0,78.6278804470553,478,168,316
1660,477,477.0,1.0,1.0,712.0,475.0,0.01,4.0,4.0,600.0,0.993,1.0,75.11354867090233,478,61,316
942,319,319.0,1.0,1.0,356.0,475.0,0.01,4.0,4.0,600.0,0.997,1.0,78.46423500065089,480,143,319
87,159,159.0,1.0,1.0,142.0,475.0,0.01,4.0,4.0,600.0,0.997,1.0,84.60358644569396,480,88,319
2407,639,639.0,1.0,1.0,1068.0,475.0,0.01,4.0,4.0,600.0,0.997,1.0,72.08340631345251,480,8,319
3235,799,799.0,1.0,1.0,1410.0,475.0,0.01,4.0,4.0,600.0,0.997,1.0,71.44680610397867,480,36,319
1643,479,479.0,1.0,1.0,712.0,475.0,0.01,4.0,4.0,600.0,0.997,1.0,74.96204335568474,480,44,319
978,298,298.0,1.0,1.0,356.0,475.0,0.01,4.0,2.0,600.0,0.995,1.0,78.73645131723377,459,179,337
3206,778,778.0,1.0,1.0,1410.0,475.0,0.01,4.0,2.0,600.0,0.995,1.0,70.54170589682394,459,7,337
61,138,138.0,1.0,1.0,142.0,475.0,0.01,4.0,2.0,600.0,0.995,1.0,84.18317933692461,459,62,337
1649,458,458.0,1.0,1.0,712.0,475.0,0.01,4.0,2.0,600.0,0.995,1.0,75.01873424014376,459,50,337
2438,618,618.0,1.0,1.0,1068.0,475.0,0.01,4.0,2.0,600.0,0.995,1.0,72.69592347486393,459,39,337
1634,463,463.0,1.0,1.0,712.0,475.0,0.03,4.0,3.0,400.0,0.995,1.0,74.83479991801978,624,35,340
2403,623,623.0,1.0,1.0,1068.0,475.0,0.03,4.0,3.0,400.0,0.995,1.0,71.73871151457274,624,4,340
999,303,303.0,1.0,1.0,356.0,475.0,0.03,4.0,3.0,400.0,0.995,1.0,78.94691550039008,624,200,340
3219,783,783.0,1.0,1.0,1410.0,475.0,0.03,4.0,3.0,400.0,0.995,1.0,70.99723254639149,624,20,340
80,143,143.0,1.0,1.0,142.0,475.0,0.03,4.0,3.0,400.0,0.995,1.0,84.4991635634188,624,81,340
37,139,139.0,1.0,1.0,142.0,475.0,0.01,4.0,2.0,600.0,0.997,1.0,83.76273849754755,460,38,345
2428,619,619.0,1.0,1.0,1068.0,475.0,0.01,4.0,2.0,600.0,0.997,1.0,72.58632832804183,460,29,345
1705,459,459.0,1.0,1.0,712.0,475.0,0.01,4.0,2.0,600.0,0.997,1.0,75.38843201310155,460,106,345
3218,779,779.0,1.0,1.0,1410.0,475.0,0.01,4.0,2.0,600.0,0.997,1.0,70.9921228670957,460,19,345
952,299,299.0,1.0,1.0,356.0,475.0,0.01,4.0,2.0,600.0,0.997,1.0,78.4997478044699,460,153,345
7,21,21.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,82.77112807665739,502,8,353
1611,341,341.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,74.15707763314637,502,12,353
3403,661,661.0,1.0,1.0,1410.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,73.0621600821375,502,204,353
806,181,181.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,75.7836159134881,502,7,353
2521,501,501.0,1.0,1.0,1068.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,73.63313821447701,502,122,353
800,186,186.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,75.3931322962785,507,1,354
2547,506,506.0,1.0,1.0,1068.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,73.84626948084139,507,148,354
1617,346,346.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,74.36914114754227,507,18,354
3375,666,666.0,1.0,1.0,1410.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,72.81447243014308,507,176,354
10,26,26.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,82.87038029692827,507,11,354
3294,734,734.0,1.0,1.0,1410.0,475.0,0.03,3.0,2.0,400.0,0.997,1.0,72.1598541477942,575,95,365
49,94,94.0,1.0,1.0,142.0,475.0,0.03,3.0,2.0,400.0,0.997,1.0,83.93145672146751,575,50,365
937,254,254.0,1.0,1.0,356.0,475.0,0.03,3.0,2.0,400.0,0.997,1.0,78.36197300432931,575,138,365
1603,414,414.0,1.0,1.0,712.0,475.0,0.03,3.0,2.0,400.0,0.997,1.0,73.72072606060887,575,4,365
2477,574,574.0,1.0,1.0,1068.0,475.0,0.03,3.0,2.0,400.0,0.997,1.0,73.1955251223219,575,78,365
3279,748,748.0,1.0,1.0,1410.0,475.0,0.01,3.0,3.0,600.0,0.995,1.0,71.97034632345236,429,80,367
35,108,108.0,1.0,1.0,142.0,475.0,0.01,3.0,3.0,600.0,0.995,1.0,83.70245444543154,429,36,367
2499,588,588.0,1.0,1.0,1068.0,475.0,0.01,3.0,3.0,600.0,0.995,1.0,73.37165121516054,429,100,367
924,268,268.0,1.0,1.0,356.0,475.0,0.01,3.0,3.0,600.0,0.995,1.0,78.19899217028531,429,125,367
1625,428,428.0,1.0,1.0,712.0,475.0,0.01,3.0,3.0,600.0,0.995,1.0,74.74489895107334,429,26,367
3376,667,667.0,1.0,1.0,1410.0,475.0,0.03,1.0,3.0,600.0,0.993,1.0,72.82025256585813,508,177,371
