,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
3232,29,29.0,1.0,1.0,1258.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,3.658655019625794,670,33,236
57,29,29.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,4.06601426477246,670,58,236
2441,509,509.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,3.674569821859237,670,42,236
1697,349,349.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,3.732554836274868,670,98,236
804,189,189.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,3.7954458986182025,670,5,236
2445,508,508.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,600.0,0.995,1.0,3.67619898081874,669,46,275
116,28,28.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.995,1.0,4.101062726146588,669,117,275
1673,348,348.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,600.0,0.995,1.0,3.7273221068623816,669,74,275
800,188,188.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,600.0,0.995,1.0,3.780287524488149,669,1,275
3236,28,28.0,1.0,1.0,1258.0,424.0,0.07,1.0,3.0,600.0,0.995,1.0,3.660778232618204,669,37,275
1623,359,359.0,1.0,1.0,635.0,424.0,0.07,1.0,4.0,600.0,0.997,1.0,3.7066935308284905,680,24,284
2405,519,519.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,600.0,0.997,1.0,3.6456178117695446,680,6,284
3224,39,39.0,1.0,1.0,1258.0,424.0,0.07,1.0,4.0,600.0,0.997,1.0,3.652996065143547,680,25,284
172,39,39.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.997,1.0,4.132788316164773,680,173,284
855,199,199.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,600.0,0.997,1.0,3.84158331013058,680,56,284
1619,355,355.0,1.0,1.0,635.0,424.0,0.07,1.0,4.0,600.0,0.97,1.0,3.703234394519445,676,20,312
823,195,195.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,600.0,0.97,1.0,3.8189986806342526,676,24,312
2411,515,515.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,600.0,0.97,1.0,3.656061804158624,676,12,312
3222,35,35.0,1.0,1.0,1258.0,424.0,0.07,1.0,4.0,600.0,0.97,1.0,3.6513202658484674,676,23,312
232,35,35.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.97,1.0,4.17282591099494,676,233,312
