,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
45,93.0,1.0,1.0,127.0,424.0,0.01,6.0,400.0,4.387467419364801,94,46,141
388,477.0,1.0,1.0,635.0,424.0,0.01,6.0,400.0,3.7480608985377,94,5,141
602,669.0,1.0,1.0,953.0,424.0,0.01,6.0,400.0,3.7324315382554354,94,27,141
809,861.0,1.0,1.0,1258.0,424.0,0.01,6.0,400.0,3.728866173362361,94,42,141
212,285.0,1.0,1.0,317.0,424.0,0.01,6.0,400.0,3.90487548814694,94,21,141
201,362.0,1.0,1.0,317.0,424.0,0.1,1.0,600.0,3.901007963839671,171,10,144
772,938.0,1.0,1.0,1258.0,424.0,0.1,1.0,600.0,3.6943027542135223,171,5,144
385,554.0,1.0,1.0,635.0,424.0,0.1,1.0,600.0,3.742320700327548,171,2,144
124,170.0,1.0,1.0,127.0,424.0,0.1,1.0,600.0,4.657986033413327,171,125,144
577,746.0,1.0,1.0,953.0,424.0,0.1,1.0,600.0,3.699177788777566,171,2,144
386,430.0,1.0,1.0,635.0,424.0,0.005,6.0,600.0,3.746304060400053,47,3,145
815,814.0,1.0,1.0,1258.0,424.0,0.005,6.0,600.0,3.7358711629143824,47,48,145
27,46.0,1.0,1.0,127.0,424.0,0.005,6.0,600.0,4.325686777307239,47,28,145
636,622.0,1.0,1.0,953.0,424.0,0.005,6.0,600.0,3.7513666676236057,47,61,145
196,238.0,1.0,1.0,317.0,424.0,0.005,6.0,600.0,3.898963444513184,47,5,145
594,665.0,1.0,1.0,953.0,424.0,0.01,5.0,400.0,3.7274326240471214,90,19,146
824,857.0,1.0,1.0,1258.0,424.0,0.01,5.0,400.0,3.7395353933031457,90,57,146
395,473.0,1.0,1.0,635.0,424.0,0.01,5.0,400.0,3.757322535723125,90,12,146
208,281.0,1.0,1.0,317.0,424.0,0.01,5.0,400.0,3.904155549592299,90,17,146
40,89.0,1.0,1.0,127.0,424.0,0.01,5.0,400.0,4.386383487017183,90,41,146
193,261.0,1.0,1.0,317.0,424.0,0.007,6.0,400.0,3.896377991414021,70,2,147
814,837.0,1.0,1.0,1258.0,424.0,0.007,6.0,400.0,3.735390728203962,70,47,147
387,453.0,1.0,1.0,635.0,424.0,0.007,6.0,400.0,3.748052968564677,70,4,147
16,69.0,1.0,1.0,127.0,424.0,0.007,6.0,400.0,4.303802458453384,70,17,147
652,645.0,1.0,1.0,953.0,424.0,0.007,6.0,400.0,3.762977579045591,70,77,147
391,531.0,1.0,1.0,635.0,424.0,0.07,1.0,800.0,3.7509059994501377,148,8,151
204,339.0,1.0,1.0,317.0,424.0,0.07,1.0,800.0,3.901581081189139,148,13,151
578,723.0,1.0,1.0,953.0,424.0,0.07,1.0,800.0,3.7055589292372826,148,3,151
775,915.0,1.0,1.0,1258.0,424.0,0.07,1.0,800.0,3.700223074543527,148,8,151
118,147.0,1.0,1.0,127.0,424.0,0.07,1.0,800.0,4.634183895150633,148,119,151
825,810.0,1.0,1.0,1258.0,424.0,0.005,5.0,600.0,3.739854676981697,43,58,156
627,618.0,1.0,1.0,953.0,424.0,0.005,5.0,600.0,3.743138474475527,43,52,156
392,426.0,1.0,1.0,635.0,424.0,0.005,5.0,600.0,3.753629181611041,43,9,156
203,234.0,1.0,1.0,317.0,424.0,0.005,5.0,600.0,3.901391083101185,43,12,156
24,42.0,1.0,1.0,127.0,424.0,0.005,5.0,600.0,4.324948407536602,43,25,156
398,427.0,1.0,1.0,635.0,424.0,0.005,5.0,800.0,3.762238440547403,44,15,159
213,235.0,1.0,1.0,317.0,424.0,0.005,5.0,800.0,3.905709101228441,44,22,159
826,811.0,1.0,1.0,1258.0,424.0,0.005,5.0,800.0,3.740709646103425,44,59,159
595,619.0,1.0,1.0,953.0,424.0,0.005,5.0,800.0,3.729651310721545,44,20,159
42,43.0,1.0,1.0,127.0,424.0,0.005,5.0,800.0,4.387058408494107,44,43,159
47,47.0,1.0,1.0,127.0,424.0,0.005,6.0,800.0,4.387620969435569,48,48,164
389,431.0,1.0,1.0,635.0,424.0,0.005,6.0,800.0,3.7488414024110575,48,6,164
615,623.0,1.0,1.0,953.0,424.0,0.005,6.0,800.0,3.737362222504128,48,40,164
829,815.0,1.0,1.0,1258.0,424.0,0.005,6.0,800.0,3.742071232987631,48,62,164
199,239.0,1.0,1.0,317.0,424.0,0.005,6.0,800.0,3.899461625876348,48,8,164
73,108.0,1.0,1.0,127.0,424.0,0.03,4.0,200.0,4.420686435631059,109,74,172
803,876.0,1.0,1.0,1258.0,424.0,0.03,4.0,200.0,3.725939861612042,109,36,172
228,300.0,1.0,1.0,317.0,424.0,0.03,4.0,200.0,3.913607148816267,109,37,172
579,684.0,1.0,1.0,953.0,424.0,0.03,4.0,200.0,3.709690995247164,109,4,172
404,492.0,1.0,1.0,635.0,424.0,0.03,4.0,200.0,3.766955423184413,109,21,172
590,745.0,1.0,1.0,953.0,424.0,0.1,1.0,400.0,3.726018120825615,170,15,175
393,454.0,1.0,1.0,635.0,424.0,0.007,6.0,600.0,3.755215683399407,71,10,175
192,361.0,1.0,1.0,317.0,424.0,0.1,1.0,400.0,3.89584333573297,170,1,175
394,553.0,1.0,1.0,635.0,424.0,0.1,1.0,400.0,3.7560152672611617,170,11,175
195,262.0,1.0,1.0,317.0,424.0,0.007,6.0,600.0,3.897443192513084,71,4,175
835,838.0,1.0,1.0,1258.0,424.0,0.007,6.0,600.0,3.747705308047944,71,68,175
109,169.0,1.0,1.0,127.0,424.0,0.1,1.0,400.0,4.551070422998864,170,110,175
805,937.0,1.0,1.0,1258.0,424.0,0.1,1.0,400.0,3.727171387045781,170,38,175
55,70.0,1.0,1.0,127.0,424.0,0.007,6.0,600.0,4.389735651478599,71,56,175
612,646.0,1.0,1.0,953.0,424.0,0.007,6.0,600.0,3.736547615357696,71,37,175
401,530.0,1.0,1.0,635.0,424.0,0.07,1.0,600.0,3.7653559662498894,147,18,180
198,338.0,1.0,1.0,317.0,424.0,0.07,1.0,600.0,3.8993072984618617,147,7,180
802,914.0,1.0,1.0,1258.0,424.0,0.07,1.0,600.0,3.7231973215051215,147,35,180
110,146.0,1.0,1.0,127.0,424.0,0.07,1.0,600.0,4.560574130618324,147,111,180
584,722.0,1.0,1.0,953.0,424.0,0.07,1.0,600.0,3.723110010069332,147,9,180
768,939.0,1.0,1.0,1258.0,424.0,0.1,1.0,800.0,3.6740074890315353,172,1,182
576,747.0,1.0,1.0,953.0,424.0,0.1,1.0,800.0,3.681270680778834,172,1,182
384,555.0,1.0,1.0,635.0,424.0,0.1,1.0,800.0,3.7348576838665375,172,1,182
230,363.0,1.0,1.0,317.0,424.0,0.1,1.0,800.0,3.914078825537263,172,39,182
139,171.0,1.0,1.0,127.0,424.0,0.1,1.0,800.0,4.756413827201865,172,140,182
397,449.0,1.0,1.0,635.0,424.0,0.007,5.0,400.0,3.7618510783072048,66,14,186
646,641.0,1.0,1.0,953.0,424.0,0.007,5.0,400.0,3.7589638588019234,66,71,186
830,833.0,1.0,1.0,1258.0,424.0,0.007,5.0,400.0,3.7456577265941977,66,63,186
210,257.0,1.0,1.0,317.0,424.0,0.007,5.0,400.0,3.904413886050846,66,19,186
18,65.0,1.0,1.0,127.0,424.0,0.007,5.0,400.0,4.304163832170551,66,19,186
807,891.0,1.0,1.0,1258.0,424.0,0.05,1.0,800.0,3.728133654631717,124,40,189
108,123.0,1.0,1.0,127.0,424.0,0.05,1.0,800.0,4.547796741129795,124,109,189
593,699.0,1.0,1.0,953.0,424.0,0.05,1.0,800.0,3.726954045732124,124,18,189
399,507.0,1.0,1.0,635.0,424.0,0.05,1.0,800.0,3.7640771555236494,124,16,189
197,315.0,1.0,1.0,317.0,424.0,0.05,1.0,800.0,3.89917247003468,124,6,189
72,116.0,1.0,1.0,127.0,424.0,0.03,6.0,200.0,4.420609667916155,117,73,191
832,884.0,1.0,1.0,1258.0,424.0,0.03,6.0,200.0,3.747017159303869,117,65,191
194,308.0,1.0,1.0,317.0,424.0,0.03,6.0,200.0,3.896557054337767,117,3,191
606,692.0,1.0,1.0,953.0,424.0,0.03,6.0,200.0,3.734786152023478,117,31,191
402,500.0,1.0,1.0,635.0,424.0,0.03,6.0,200.0,3.766417178848753,117,19,191
396,445.0,1.0,1.0,635.0,424.0,0.007,4.0,400.0,3.7590795038443705,62,13,193
209,253.0,1.0,1.0,317.0,424.0,0.007,4.0,400.0,3.904169407377535,62,18,193
17,61.0,1.0,1.0,127.0,424.0,0.007,4.0,400.0,4.3038841973615405,62,18,193
845,829.0,1.0,1.0,1258.0,424.0,0.007,4.0,400.0,3.755397665008398,62,78,193
641,637.0,1.0,1.0,953.0,424.0,0.007,4.0,400.0,3.755475259970476,62,66,193
26,38.0,1.0,1.0,127.0,424.0,0.005,4.0,600.0,4.32558649591521,39,27,194
222,230.0,1.0,1.0,317.0,424.0,0.005,4.0,600.0,3.9110047821114136,39,31,194
390,422.0,1.0,1.0,635.0,424.0,0.005,4.0,600.0,3.7491965113637127,39,7,194
632,614.0,1.0,1.0,953.0,424.0,0.005,4.0,600.0,3.749246386397501,39,57,194
839,806.0,1.0,1.0,1258.0,424.0,0.005,4.0,600.0,3.749760317093924,39,72,194
407,469.0,1.0,1.0,635.0,424.0,0.01,4.0,400.0,3.770627628691237,86,24,196
823,853.0,1.0,1.0,1258.0,424.0,0.01,4.0,400.0,3.739426535769317,86,56,196
46,85.0,1.0,1.0,127.0,424.0,0.01,4.0,400.0,4.387525427105492,86,47,196
601,661.0,1.0,1.0,953.0,424.0,0.01,4.0,400.0,3.732421969747136,86,26,196
234,277.0,1.0,1.0,317.0,424.0,0.01,4.0,400.0,3.914725325298813,86,43,196
75,63.0,1.0,1.0,127.0,424.0,0.007,4.0,800.0,4.421254772476112,64,76,201
808,831.0,1.0,1.0,1258.0,424.0,0.007,4.0,800.0,3.728335875965453,64,41,201
231,255.0,1.0,1.0,317.0,424.0,0.007,4.0,800.0,3.914209108330712,64,40,201
417,447.0,1.0,1.0,635.0,424.0,0.007,4.0,800.0,3.7785010333954254,64,34,201
585,639.0,1.0,1.0,953.0,424.0,0.007,4.0,800.0,3.7235767288172448,64,10,201
828,834.0,1.0,1.0,1258.0,424.0,0.007,5.0,600.0,3.7416256293025736,67,61,203
620,642.0,1.0,1.0,953.0,424.0,0.007,5.0,600.0,3.7390287471284185,67,45,203
218,258.0,1.0,1.0,317.0,424.0,0.007,5.0,600.0,3.909910462193136,67,27,203
52,66.0,1.0,1.0,127.0,424.0,0.007,5.0,600.0,4.38913356674862,67,53,203
