,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
1651,474,474.0,1.0,1.0,635.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,1.273563876340636,635,52,245
3279,794,794.0,1.0,1.0,1258.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,1.2109287988617072,635,80,245
854,314,314.0,1.0,1.0,317.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,1.3165481368891965,635,55,245
2429,634,634.0,1.0,1.0,953.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,1.2181880537886076,635,30,245
27,154,154.0,1.0,1.0,127.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,1.4224962151542693,635,28,245
1653,374,374.0,1.0,1.0,635.0,424.0,0.07,2.0,2.0,400.0,0.997,1.0,1.2738143313959245,695,54,266
3295,694,694.0,1.0,1.0,1258.0,424.0,0.07,2.0,2.0,400.0,0.997,1.0,1.2127452750122174,695,96,266
39,54,54.0,1.0,1.0,127.0,424.0,0.07,2.0,2.0,400.0,0.997,1.0,1.4276205602828962,695,40,266
833,214,214.0,1.0,1.0,317.0,424.0,0.07,2.0,2.0,400.0,0.997,1.0,1.304129798480471,695,34,266
2441,534,534.0,1.0,1.0,953.0,424.0,0.07,2.0,2.0,400.0,0.997,1.0,1.2211630743825022,695,42,266
3318,699,699.0,1.0,1.0,1258.0,424.0,0.03,2.0,2.0,600.0,0.997,1.0,1.2144107022013193,540,119,333
102,59,59.0,1.0,1.0,127.0,424.0,0.03,2.0,2.0,600.0,0.997,1.0,1.4545627057648625,540,103,333
2443,539,539.0,1.0,1.0,953.0,424.0,0.03,2.0,2.0,600.0,0.997,1.0,1.2217677422339188,540,44,333
1635,379,379.0,1.0,1.0,635.0,424.0,0.03,2.0,2.0,600.0,0.997,1.0,1.27140180644555,540,36,333
830,219,219.0,1.0,1.0,317.0,424.0,0.03,2.0,2.0,600.0,0.997,1.0,1.3023535907534447,540,31,333
1609,374,374.0,1.0,1.0,635.0,424.0,0.03,2.0,2.0,400.0,0.997,1.0,1.2651876660764143,535,10,341
801,214,214.0,1.0,1.0,317.0,424.0,0.03,2.0,2.0,400.0,0.997,1.0,1.283734365783328,535,2,341
3405,694,694.0,1.0,1.0,1258.0,424.0,0.03,2.0,2.0,400.0,0.997,1.0,1.2234279368469745,535,206,341
60,54,54.0,1.0,1.0,127.0,424.0,0.03,2.0,2.0,400.0,0.997,1.0,1.436464277839304,535,61,341
2461,534,534.0,1.0,1.0,953.0,424.0,0.03,2.0,2.0,400.0,0.997,1.0,1.224656571568655,535,62,341
858,304,304.0,1.0,1.0,317.0,424.0,0.03,4.0,3.0,400.0,0.997,1.0,1.3201360301026368,625,59,349
93,144,144.0,1.0,1.0,127.0,424.0,0.03,4.0,3.0,400.0,0.997,1.0,1.4498526761661557,625,94,349
3301,784,784.0,1.0,1.0,1258.0,424.0,0.03,4.0,3.0,400.0,0.997,1.0,1.213107254012782,625,102,349
1620,464,464.0,1.0,1.0,635.0,424.0,0.03,4.0,3.0,400.0,0.997,1.0,1.2683200049669274,625,21,349
2472,624,624.0,1.0,1.0,953.0,424.0,0.03,4.0,3.0,400.0,0.997,1.0,1.2257631472993586,625,73,349
3427,659,659.0,1.0,1.0,1258.0,424.0,0.07,1.0,2.0,600.0,0.997,1.0,1.2275068458236762,660,228,371
