,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
387,469.0,1.0,1.0,635.0,424.0,0.01,4.0,400.0,1.2838501201372134,86,4,90
589,661.0,1.0,1.0,953.0,424.0,0.01,4.0,400.0,1.2528592861064087,86,14,90
195,277.0,1.0,1.0,317.0,424.0,0.01,4.0,400.0,1.3514334911440766,86,4,90
796,853.0,1.0,1.0,1258.0,424.0,0.01,4.0,400.0,1.2286378288079525,86,29,90
38,85.0,1.0,1.0,127.0,424.0,0.01,4.0,400.0,1.806586015464592,86,39,90
50,62.0,1.0,1.0,127.0,424.0,0.007,4.0,600.0,1.8140476535486985,63,51,107
389,446.0,1.0,1.0,635.0,424.0,0.007,4.0,600.0,1.2842446195926809,63,6,107
797,830.0,1.0,1.0,1258.0,424.0,0.007,4.0,600.0,1.2288170964458525,63,30,107
587,638.0,1.0,1.0,953.0,424.0,0.007,4.0,600.0,1.252462265787277,63,12,107
199,254.0,1.0,1.0,317.0,424.0,0.007,4.0,600.0,1.352633647193214,63,8,107
196,231.0,1.0,1.0,317.0,424.0,0.005,4.0,800.0,1.351607135024319,40,5,109
390,423.0,1.0,1.0,635.0,424.0,0.005,4.0,800.0,1.2853916747606848,40,7,109
593,615.0,1.0,1.0,953.0,424.0,0.005,4.0,800.0,1.2545157452054931,40,18,109
40,39.0,1.0,1.0,127.0,424.0,0.005,4.0,800.0,1.807250927337033,40,41,109
805,807.0,1.0,1.0,1258.0,424.0,0.005,4.0,800.0,1.230561538452409,40,38,109
62,63.0,1.0,1.0,127.0,424.0,0.007,4.0,800.0,1.844109936430864,64,63,125
391,492.0,1.0,1.0,635.0,424.0,0.03,4.0,200.0,1.286007890808698,109,8,125
777,876.0,1.0,1.0,1258.0,424.0,0.03,4.0,200.0,1.218493146005033,109,10,125
393,447.0,1.0,1.0,635.0,424.0,0.007,4.0,800.0,1.2872691209610143,64,10,125
781,831.0,1.0,1.0,1258.0,424.0,0.007,4.0,800.0,1.2218785429028336,64,14,125
223,255.0,1.0,1.0,317.0,424.0,0.007,4.0,800.0,1.3642303504075626,64,32,125
226,300.0,1.0,1.0,317.0,424.0,0.03,4.0,200.0,1.3664579954228209,109,35,125
579,684.0,1.0,1.0,953.0,424.0,0.03,4.0,200.0,1.2451670452069643,109,4,125
581,639.0,1.0,1.0,953.0,424.0,0.007,4.0,800.0,1.2469008182762369,64,6,125
67,108.0,1.0,1.0,127.0,424.0,0.03,4.0,200.0,1.8451797073961247,109,68,125
64,86.0,1.0,1.0,127.0,424.0,0.01,4.0,600.0,1.844529919013609,87,65,140
580,662.0,1.0,1.0,953.0,424.0,0.01,4.0,600.0,1.2452414952408568,87,5,140
235,278.0,1.0,1.0,317.0,424.0,0.01,4.0,600.0,1.3705202989995064,87,44,140
779,854.0,1.0,1.0,1258.0,424.0,0.01,4.0,600.0,1.220574784023257,87,12,140
397,470.0,1.0,1.0,635.0,424.0,0.01,4.0,600.0,1.2885987439956723,87,14,140
221,285.0,1.0,1.0,317.0,424.0,0.01,6.0,400.0,1.3621776544686628,94,30,165
388,477.0,1.0,1.0,635.0,424.0,0.01,6.0,400.0,1.283940008858686,94,5,165
831,861.0,1.0,1.0,1258.0,424.0,0.01,6.0,400.0,1.2371425672408558,94,64,165
601,669.0,1.0,1.0,953.0,424.0,0.01,6.0,400.0,1.2560777030137078,94,26,165
39,93.0,1.0,1.0,127.0,424.0,0.01,6.0,400.0,1.8069813428855208,94,40,165
837,857.0,1.0,1.0,1258.0,424.0,0.01,5.0,400.0,1.2383611436407271,90,70,180
385,473.0,1.0,1.0,635.0,424.0,0.01,5.0,400.0,1.2825571798276527,90,2,180
211,281.0,1.0,1.0,317.0,424.0,0.01,5.0,400.0,1.3587169674619817,90,20,180
42,89.0,1.0,1.0,127.0,424.0,0.01,5.0,400.0,1.8072988139599424,90,43,180
620,665.0,1.0,1.0,953.0,424.0,0.01,5.0,400.0,1.2598454595492257,90,45,180
217,239.0,1.0,1.0,317.0,424.0,0.005,6.0,800.0,1.360693921032698,48,26,181
836,815.0,1.0,1.0,1258.0,424.0,0.005,6.0,800.0,1.237841398636893,48,69,181
43,47.0,1.0,1.0,127.0,424.0,0.005,6.0,800.0,1.8074131215492668,48,44,181
608,623.0,1.0,1.0,953.0,424.0,0.005,6.0,800.0,1.2571599449481172,48,33,181
392,431.0,1.0,1.0,635.0,424.0,0.005,6.0,800.0,1.2861584641716062,48,9,181
582,663.0,1.0,1.0,953.0,424.0,0.01,4.0,800.0,1.2495105212161526,88,7,185
41,43.0,1.0,1.0,127.0,424.0,0.005,5.0,800.0,1.807298198524192,44,42,185
627,619.0,1.0,1.0,953.0,424.0,0.005,5.0,800.0,1.2612919309090307,44,52,185
773,855.0,1.0,1.0,1258.0,424.0,0.01,4.0,800.0,1.2162039878459423,88,6,185
75,87.0,1.0,1.0,127.0,424.0,0.01,4.0,800.0,1.8640927392221496,88,76,185
386,427.0,1.0,1.0,635.0,424.0,0.005,5.0,800.0,1.283017701576103,44,3,185
834,811.0,1.0,1.0,1258.0,424.0,0.005,5.0,800.0,1.2376134186259524,44,67,185
254,279.0,1.0,1.0,317.0,424.0,0.01,4.0,800.0,1.3816460852972008,88,63,185
212,235.0,1.0,1.0,317.0,424.0,0.005,5.0,800.0,1.359001699588224,44,21,185
416,471.0,1.0,1.0,635.0,424.0,0.01,4.0,800.0,1.293688755114799,88,33,185
215,262.0,1.0,1.0,317.0,424.0,0.007,6.0,600.0,1.3601125534761758,71,24,188
395,454.0,1.0,1.0,635.0,424.0,0.007,6.0,600.0,1.2881727342739482,71,12,188
49,70.0,1.0,1.0,127.0,424.0,0.007,6.0,600.0,1.813941634185123,71,50,188
832,838.0,1.0,1.0,1258.0,424.0,0.007,6.0,600.0,1.237182874479455,71,65,188
612,646.0,1.0,1.0,953.0,424.0,0.007,6.0,600.0,1.2581581286131132,71,37,188
52,66.0,1.0,1.0,127.0,424.0,0.007,5.0,600.0,1.814169502174011,67,53,192
623,642.0,1.0,1.0,953.0,424.0,0.007,5.0,600.0,1.2603970015526604,67,48,192
830,834.0,1.0,1.0,1258.0,424.0,0.007,5.0,600.0,1.2369822896645513,67,63,192
384,450.0,1.0,1.0,635.0,424.0,0.007,5.0,600.0,1.282241390421102,67,1,192
218,258.0,1.0,1.0,317.0,424.0,0.007,5.0,600.0,1.3607161003873385,67,27,192
251,304.0,1.0,1.0,317.0,424.0,0.03,5.0,200.0,1.3801959006225988,113,60,195
