,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
775,853.0,1.0,1.0,1258.0,424.0,0.01,4.0,400.0,30.0446804479741,86,8,76
580,661.0,1.0,1.0,953.0,424.0,0.01,4.0,400.0,30.03472530534331,86,5,76
217,277.0,1.0,1.0,317.0,424.0,0.01,4.0,400.0,33.90968136146814,86,26,76
413,469.0,1.0,1.0,635.0,424.0,0.01,4.0,400.0,31.662298124384535,86,30,76
6,85.0,1.0,1.0,127.0,424.0,0.01,4.0,400.0,40.16811670255483,86,7,76
582,638.0,1.0,1.0,953.0,424.0,0.007,4.0,600.0,30.04531356141321,63,7,85
771,830.0,1.0,1.0,1258.0,424.0,0.007,4.0,600.0,29.989412920844536,63,4,85
9,62.0,1.0,1.0,127.0,424.0,0.007,4.0,600.0,40.1973823282263,63,10,85
412,446.0,1.0,1.0,635.0,424.0,0.007,4.0,600.0,31.64145040054254,63,29,85
226,254.0,1.0,1.0,317.0,424.0,0.007,4.0,600.0,33.962006232373184,63,35,85
4,39.0,1.0,1.0,127.0,424.0,0.005,4.0,800.0,40.15369290277374,40,5,86
417,423.0,1.0,1.0,635.0,424.0,0.005,4.0,800.0,31.69557951751255,40,34,86
589,615.0,1.0,1.0,953.0,424.0,0.005,4.0,800.0,30.082846173947427,40,14,86
599,634.0,1.0,1.0,953.0,424.0,0.007,3.0,600.0,30.25692379278193,59,24,86
773,807.0,1.0,1.0,1258.0,424.0,0.005,4.0,800.0,29.999494955992,40,6,86
791,826.0,1.0,1.0,1258.0,424.0,0.007,3.0,600.0,30.187127395046296,59,24,86
396,442.0,1.0,1.0,635.0,424.0,0.007,3.0,600.0,31.33934487261281,59,13,86
210,250.0,1.0,1.0,317.0,424.0,0.007,3.0,600.0,33.818172394714814,59,19,86
5,58.0,1.0,1.0,127.0,424.0,0.007,3.0,600.0,40.157614065048605,59,6,86
218,231.0,1.0,1.0,317.0,424.0,0.005,4.0,800.0,33.909954863577866,40,27,86
0,35.0,1.0,1.0,127.0,424.0,0.005,3.0,800.0,40.09802918047724,36,1,91
