,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,0.0,50.0,142.0,475.0,0.005,2.0,800.0,6.499972391637123
1,1.0,1.0,51.0,142.0,475.0,0.005,2.0,800.0,6.356677297833786
2,2.0,2.0,52.0,142.0,475.0,0.005,2.0,800.0,6.802140575763625
3,3.0,3.0,53.0,142.0,475.0,0.005,2.0,800.0,6.668385259596632
4,4.0,4.0,54.0,142.0,475.0,0.005,2.0,800.0,7.46711313101822
5,5.0,5.0,55.0,142.0,475.0,0.005,2.0,800.0,6.860543629544991
6,6.0,6.0,56.0,142.0,475.0,0.005,2.0,800.0,7.727622359424582
7,7.0,7.0,57.0,142.0,475.0,0.005,2.0,800.0,7.406499044834655
8,8.0,8.0,58.0,142.0,475.0,0.005,2.0,800.0,7.4709656805545235
9,9.0,9.0,59.0,142.0,475.0,0.005,2.0,800.0,6.707548795589182
10,10.0,10.0,60.0,142.0,475.0,0.005,2.0,800.0,7.344960550969574
11,11.0,11.0,61.0,142.0,475.0,0.005,2.0,800.0,6.407154363011452
12,12.0,12.0,62.0,142.0,475.0,0.005,2.0,800.0,6.717452634957896
13,13.0,13.0,63.0,142.0,475.0,0.005,2.0,800.0,6.815446818529185
14,14.0,14.0,64.0,142.0,475.0,0.005,2.0,800.0,6.854266758221398
15,15.0,15.0,65.0,142.0,475.0,0.005,2.0,800.0,7.532645812619692
16,16.0,16.0,66.0,142.0,475.0,0.005,2.0,800.0,7.773806306708331
17,17.0,17.0,67.0,142.0,475.0,0.005,2.0,800.0,6.728561505705144
18,18.0,18.0,68.0,142.0,475.0,0.005,2.0,800.0,7.135819171375785
19,19.0,19.0,69.0,142.0,475.0,0.005,2.0,800.0,7.513668812761041
20,20.0,20.0,70.0,142.0,475.0,0.005,2.0,800.0,8.259348443711964
21,21.0,21.0,71.0,142.0,475.0,0.005,2.0,800.0,7.309803983214028
22,22.0,22.0,72.0,142.0,475.0,0.005,2.0,800.0,7.328381283695473
23,23.0,23.0,73.0,142.0,475.0,0.005,2.0,800.0,7.243823012542567
24,24.0,24.0,74.0,142.0,475.0,0.005,2.0,800.0,8.509973921198164
25,25.0,25.0,75.0,142.0,475.0,0.005,2.0,800.0,7.397568942577151
26,26.0,26.0,76.0,142.0,475.0,0.005,2.0,800.0,7.509732126099552
27,27.0,27.0,77.0,142.0,475.0,0.005,2.0,800.0,6.928815498224746
28,28.0,28.0,78.0,142.0,475.0,0.005,2.0,800.0,7.7439448095290535
29,29.0,29.0,79.0,142.0,475.0,0.005,2.0,800.0,7.382541709929312
30,30.0,30.0,80.0,142.0,475.0,0.005,2.0,800.0,7.538962469011753
31,31.0,31.0,81.0,142.0,475.0,0.005,2.0,800.0,6.410081494307355
32,32.0,32.0,82.0,142.0,475.0,0.005,2.0,800.0,7.507124293022135
33,33.0,33.0,83.0,142.0,475.0,0.005,2.0,800.0,6.712047725802822
34,34.0,34.0,84.0,142.0,475.0,0.005,2.0,800.0,7.117719074121873
35,35.0,35.0,85.0,142.0,475.0,0.005,2.0,800.0,7.1761036285422035
36,36.0,36.0,86.0,142.0,475.0,0.005,2.0,800.0,6.4630382041183685
37,37.0,37.0,87.0,142.0,475.0,0.005,2.0,800.0,7.823952240651186
38,38.0,38.0,88.0,142.0,475.0,0.005,2.0,800.0,7.631225844896626
39,39.0,39.0,89.0,142.0,475.0,0.005,2.0,800.0,7.007829376462113
40,40.0,40.0,90.0,142.0,475.0,0.005,2.0,800.0,7.2174147402185
41,41.0,41.0,91.0,142.0,475.0,0.005,2.0,800.0,8.134401383831992
42,42.0,42.0,92.0,142.0,475.0,0.005,2.0,800.0,6.119757187419138
43,43.0,43.0,93.0,142.0,475.0,0.005,2.0,800.0,6.917816226645485
44,44.0,44.0,94.0,142.0,475.0,0.005,2.0,800.0,6.609119619888943
45,45.0,45.0,95.0,142.0,475.0,0.005,2.0,800.0,7.306779565060154
46,46.0,46.0,96.0,142.0,475.0,0.005,2.0,800.0,7.476465183769386
47,47.0,47.0,97.0,142.0,475.0,0.005,2.0,800.0,7.6624804744239965
48,48.0,48.0,98.0,142.0,475.0,0.005,2.0,800.0,7.478481331662146
49,49.0,49.0,99.0,142.0,475.0,0.005,2.0,800.0,7.650907782690641
50,0.0,0.0,50.0,356.0,475.0,0.01,1.0,800.0,6.330914315321945
51,1.0,1.0,51.0,356.0,475.0,0.01,1.0,800.0,5.999328985643182
52,2.0,2.0,52.0,356.0,475.0,0.01,1.0,800.0,6.634842202739111
53,3.0,3.0,53.0,356.0,475.0,0.01,1.0,800.0,6.120416736559185
54,4.0,4.0,54.0,356.0,475.0,0.01,1.0,800.0,7.079339905563425
55,5.0,5.0,55.0,356.0,475.0,0.01,1.0,800.0,6.394135060731254
56,6.0,6.0,56.0,356.0,475.0,0.01,1.0,800.0,7.665443845843991
57,7.0,7.0,57.0,356.0,475.0,0.01,1.0,800.0,7.156519791350114
58,8.0,8.0,58.0,356.0,475.0,0.01,1.0,800.0,7.5566755370165115
59,9.0,9.0,59.0,356.0,475.0,0.01,1.0,800.0,6.341965692881597
60,10.0,10.0,60.0,356.0,475.0,0.01,1.0,800.0,7.135887306917581
61,11.0,11.0,61.0,356.0,475.0,0.01,1.0,800.0,6.336500251823734
62,12.0,12.0,62.0,356.0,475.0,0.01,1.0,800.0,6.236678528368818
63,13.0,13.0,63.0,356.0,475.0,0.01,1.0,800.0,6.426046956480872
64,14.0,14.0,64.0,356.0,475.0,0.01,1.0,800.0,6.630423081866928
65,15.0,15.0,65.0,356.0,475.0,0.01,1.0,800.0,7.260748065115227
66,16.0,16.0,66.0,356.0,475.0,0.01,1.0,800.0,7.430134217055427
67,17.0,17.0,67.0,356.0,475.0,0.01,1.0,800.0,6.5061995686427
68,18.0,18.0,68.0,356.0,475.0,0.01,1.0,800.0,6.845861163454124
69,19.0,19.0,69.0,356.0,475.0,0.01,1.0,800.0,7.364408289467098
70,20.0,20.0,70.0,356.0,475.0,0.01,1.0,800.0,7.843604900578561
71,21.0,21.0,71.0,356.0,475.0,0.01,1.0,800.0,7.250091175003122
72,22.0,22.0,72.0,356.0,475.0,0.01,1.0,800.0,7.1117931628835604
73,23.0,23.0,73.0,356.0,475.0,0.01,1.0,800.0,7.2045152066573275
74,24.0,24.0,74.0,356.0,475.0,0.01,1.0,800.0,7.592391500765806
75,25.0,25.0,75.0,356.0,475.0,0.01,1.0,800.0,7.037055578827483
76,26.0,26.0,76.0,356.0,475.0,0.01,1.0,800.0,7.409097041653594
77,27.0,27.0,77.0,356.0,475.0,0.01,1.0,800.0,6.3187777828826635
78,28.0,28.0,78.0,356.0,475.0,0.01,1.0,800.0,7.581793680648628
79,29.0,29.0,79.0,356.0,475.0,0.01,1.0,800.0,6.967878645704774
80,30.0,30.0,80.0,356.0,475.0,0.01,1.0,800.0,7.466607527993908
81,31.0,31.0,81.0,356.0,475.0,0.01,1.0,800.0,6.40529172082454
82,32.0,32.0,82.0,356.0,475.0,0.01,1.0,800.0,7.126830898666292
83,33.0,33.0,83.0,356.0,475.0,0.01,1.0,800.0,6.072024133690308
84,34.0,34.0,84.0,356.0,475.0,0.01,1.0,800.0,6.687602937212472
85,35.0,35.0,85.0,356.0,475.0,0.01,1.0,800.0,6.6087939093244135
86,36.0,36.0,86.0,356.0,475.0,0.01,1.0,800.0,6.406450495980312
87,37.0,37.0,87.0,356.0,475.0,0.01,1.0,800.0,7.759378575093599
