,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,0.0,50.0,142.0,475.0,0.03,2.0,200.0,2.6831114668483464
1,1.0,1.0,51.0,142.0,475.0,0.03,2.0,200.0,2.749642268650598
2,2.0,2.0,52.0,142.0,475.0,0.03,2.0,200.0,2.6305976108707467
3,3.0,3.0,53.0,142.0,475.0,0.03,2.0,200.0,2.5577124914733815
4,4.0,4.0,54.0,142.0,475.0,0.03,2.0,200.0,3.113777849838982
5,5.0,5.0,55.0,142.0,475.0,0.03,2.0,200.0,2.500616482630147
6,6.0,6.0,56.0,142.0,475.0,0.03,2.0,200.0,2.5033095203436964
7,7.0,7.0,57.0,142.0,475.0,0.03,2.0,200.0,2.8893597052223594
8,8.0,8.0,58.0,142.0,475.0,0.03,2.0,200.0,2.478507095774075
9,9.0,9.0,59.0,142.0,475.0,0.03,2.0,200.0,2.7959287547132923
10,10.0,10.0,60.0,142.0,475.0,0.03,2.0,200.0,2.4471748052462097
11,11.0,11.0,61.0,142.0,475.0,0.03,2.0,200.0,2.494412774939639
12,12.0,12.0,62.0,142.0,475.0,0.03,2.0,200.0,2.810386406550955
13,13.0,13.0,63.0,142.0,475.0,0.03,2.0,200.0,2.9038933574784025
14,14.0,14.0,64.0,142.0,475.0,0.03,2.0,200.0,2.7192343156238716
15,15.0,15.0,65.0,142.0,475.0,0.03,2.0,200.0,2.918989093798591
16,16.0,16.0,66.0,142.0,475.0,0.03,2.0,200.0,2.8309121961777057
17,17.0,17.0,67.0,142.0,475.0,0.03,2.0,200.0,2.8428267118417345
18,18.0,18.0,68.0,142.0,475.0,0.03,2.0,200.0,2.6319849898624037
19,19.0,19.0,69.0,142.0,475.0,0.03,2.0,200.0,2.4801228364239734
20,20.0,20.0,70.0,142.0,475.0,0.03,2.0,200.0,2.9921096537229133
21,21.0,21.0,71.0,142.0,475.0,0.03,2.0,200.0,2.699816303042885
22,22.0,22.0,72.0,142.0,475.0,0.03,2.0,200.0,2.804896354793816
23,23.0,23.0,73.0,142.0,475.0,0.03,2.0,200.0,2.622360903159535
24,24.0,24.0,74.0,142.0,475.0,0.03,2.0,200.0,2.86748200225811
25,25.0,25.0,75.0,142.0,475.0,0.03,2.0,200.0,2.735118582123082
26,26.0,26.0,76.0,142.0,475.0,0.03,2.0,200.0,2.6740907425171834
