,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,0.0,50.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.2998661894096757
1,1.0,1.0,51.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.8809491515540104
2,2.0,2.0,52.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.178805675161093
3,3.0,3.0,53.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.541839858535482
4,4.0,4.0,54.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.400611869565388
5,5.0,5.0,55.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.3010500666858493
6,6.0,6.0,56.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.7531070158679767
7,7.0,7.0,57.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.3067747377211774
8,8.0,8.0,58.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.291767246488217
9,9.0,9.0,59.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.8923340504855797
10,10.0,10.0,60.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.258739889921204
11,11.0,11.0,61.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.459092890713415
12,12.0,12.0,62.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.364078549675629
13,13.0,13.0,63.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.5328475294162143
14,14.0,14.0,64.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.39488808059349
15,15.0,15.0,65.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.369882331585505
16,16.0,16.0,66.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.243294270649947
17,17.0,17.0,67.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.5755486787799584
18,18.0,18.0,68.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.623919724697413
19,19.0,19.0,69.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.3098693569287945
20,20.0,20.0,70.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.449958342734945
21,21.0,21.0,71.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.439521424502971
22,22.0,22.0,72.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.3790942652312377
23,23.0,23.0,73.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.3805285103782494
24,24.0,24.0,74.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.2718573199768604
25,25.0,25.0,75.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.1558343791507406
26,26.0,26.0,76.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.190844581384077
27,27.0,27.0,77.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.3053544420463044
28,28.0,28.0,78.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.4979722471926635
29,29.0,29.0,79.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.2902831402718435
30,30.0,30.0,80.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.5016063300891944
31,31.0,31.0,81.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.453291643882701
32,32.0,32.0,82.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.735068059053443
33,33.0,33.0,83.0,1258.0,424.0,0.01,4.0,3.0,400.0,0.997,1.0,3.1183591963138797
