,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,0.0,50.0,127.0,424.0,0.003,5.0,800.0,2.1133395712028697
1,1.0,1.0,51.0,127.0,424.0,0.003,5.0,800.0,1.752465885920168
2,2.0,2.0,52.0,127.0,424.0,0.003,5.0,800.0,1.9525074510915126
3,3.0,3.0,53.0,127.0,424.0,0.003,5.0,800.0,1.830682030554668
4,4.0,4.0,54.0,127.0,424.0,0.003,5.0,800.0,1.8276456798499945
5,5.0,5.0,55.0,127.0,424.0,0.003,5.0,800.0,1.7552992582766216
6,6.0,6.0,56.0,127.0,424.0,0.003,5.0,800.0,2.015599710017549
7,7.0,7.0,57.0,127.0,424.0,0.003,5.0,800.0,1.9685444748826733
8,8.0,8.0,58.0,127.0,424.0,0.003,5.0,800.0,1.8231329116433719
9,9.0,9.0,59.0,127.0,424.0,0.003,5.0,800.0,1.9300255051428798
10,10.0,10.0,60.0,127.0,424.0,0.003,5.0,800.0,1.8945604955478947
11,11.0,11.0,61.0,127.0,424.0,0.003,5.0,800.0,2.0305385280948345
12,12.0,12.0,62.0,127.0,424.0,0.003,5.0,800.0,1.9833867183250589
13,13.0,13.0,63.0,127.0,424.0,0.003,5.0,800.0,1.947724827058395
14,14.0,14.0,64.0,127.0,424.0,0.003,5.0,800.0,1.86889147848844
15,15.0,15.0,65.0,127.0,424.0,0.003,5.0,800.0,1.9331155769923887
16,16.0,16.0,66.0,127.0,424.0,0.003,5.0,800.0,1.9618942177722118
17,17.0,17.0,67.0,127.0,424.0,0.003,5.0,800.0,1.9541655026734481
18,18.0,18.0,68.0,127.0,424.0,0.003,5.0,800.0,2.0782965543279004
19,19.0,19.0,69.0,127.0,424.0,0.003,5.0,800.0,1.7523562615074144
20,20.0,20.0,70.0,127.0,424.0,0.003,5.0,800.0,1.8947331420110556
21,21.0,21.0,71.0,127.0,424.0,0.003,5.0,800.0,1.8857356249608377
22,22.0,22.0,72.0,127.0,424.0,0.003,5.0,800.0,2.0085144733752767
23,23.0,23.0,73.0,127.0,424.0,0.003,5.0,800.0,2.130651132820756
24,24.0,24.0,74.0,127.0,424.0,0.003,5.0,800.0,1.9812243461248977
25,25.0,25.0,75.0,127.0,424.0,0.003,5.0,800.0,1.9069790630798482
26,26.0,26.0,76.0,127.0,424.0,0.003,5.0,800.0,1.802804776065064
27,27.0,27.0,77.0,127.0,424.0,0.003,5.0,800.0,2.0664205304610292
28,28.0,28.0,78.0,127.0,424.0,0.003,5.0,800.0,1.8708582624099246
29,29.0,29.0,79.0,127.0,424.0,0.003,5.0,800.0,1.8663383368157545
30,30.0,30.0,80.0,127.0,424.0,0.003,5.0,800.0,1.8112589453976977
31,31.0,31.0,81.0,127.0,424.0,0.003,5.0,800.0,2.142734376517061
32,32.0,32.0,82.0,127.0,424.0,0.003,5.0,800.0,1.9454524225640302
33,33.0,33.0,83.0,127.0,424.0,0.003,5.0,800.0,1.8980604230230158
34,34.0,34.0,84.0,127.0,424.0,0.003,5.0,800.0,2.0121026500051666
35,35.0,35.0,85.0,127.0,424.0,0.003,5.0,800.0,1.7390679194901257
36,36.0,36.0,86.0,127.0,424.0,0.003,5.0,800.0,1.9245275531101884
37,37.0,37.0,87.0,127.0,424.0,0.003,5.0,800.0,1.7568512187167775
38,38.0,38.0,88.0,127.0,424.0,0.003,5.0,800.0,1.7290444227403088
39,39.0,39.0,89.0,127.0,424.0,0.003,5.0,800.0,1.698968357619613
40,40.0,40.0,90.0,127.0,424.0,0.003,5.0,800.0,1.914438215226349
41,41.0,41.0,91.0,127.0,424.0,0.003,5.0,800.0,1.8620567576975846
42,42.0,42.0,92.0,127.0,424.0,0.003,5.0,800.0,2.015057571448138
43,43.0,43.0,93.0,127.0,424.0,0.003,5.0,800.0,1.7402266373488802
44,44.0,44.0,94.0,127.0,424.0,0.003,5.0,800.0,1.8327384833979452
45,45.0,45.0,95.0,127.0,424.0,0.003,5.0,800.0,1.8493915180152583
46,46.0,46.0,96.0,127.0,424.0,0.003,5.0,800.0,2.136439302898356
47,47.0,47.0,97.0,127.0,424.0,0.003,5.0,800.0,2.1994905058420056
48,48.0,48.0,98.0,127.0,424.0,0.003,5.0,800.0,1.9666299716025353
49,49.0,49.0,99.0,127.0,424.0,0.003,5.0,800.0,1.6576681874430914
50,0.0,0.0,50.0,317.0,424.0,0.03,2.0,200.0,1.4322330608128935
51,1.0,1.0,51.0,317.0,424.0,0.03,2.0,200.0,1.3343368299686948
52,2.0,2.0,52.0,317.0,424.0,0.03,2.0,200.0,1.3759995340345508
