,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,0.0,10.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,39.865724639256506
1,1.0,1.0,11.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,41.471108552949
2,2.0,2.0,12.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,34.22920355060873
3,3.0,3.0,13.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,36.657945651400865
4,4.0,4.0,14.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,38.313649422486904
5,5.0,5.0,15.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,40.904890456400885
6,6.0,6.0,16.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,34.86359446279405
7,7.0,7.0,17.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,39.33428086580442
8,8.0,8.0,18.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,34.17112912328675
9,9.0,9.0,19.0,76.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,35.359653729184274
10,0.0,0.0,10.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,34.61802363546078
11,1.0,1.0,11.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,34.422966360793176
12,2.0,2.0,12.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,33.39523741195494
13,3.0,3.0,13.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,35.51658975215409
14,4.0,4.0,14.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,29.355803301111415
15,5.0,5.0,15.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,38.356307490631245
16,6.0,6.0,16.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,30.79179045488894
17,7.0,7.0,17.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,35.07845048530013
18,8.0,8.0,18.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,31.686542270033257
19,9.0,9.0,19.0,152.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,32.633916983123065
20,0.0,0.0,10.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,33.00371409888283
21,1.0,1.0,11.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,35.481625379549996
22,2.0,2.0,12.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,28.791071645397853
23,3.0,3.0,13.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,34.17207070147903
24,4.0,4.0,14.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,27.849708839182703
25,5.0,5.0,15.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,37.21961193311415
26,6.0,6.0,16.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,29.06065116221832
27,7.0,7.0,17.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,32.485844982650015
28,8.0,8.0,18.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,31.39742051050967
29,9.0,9.0,19.0,228.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,29.28835226862706
30,0.0,0.0,10.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,32.21527647736972
31,1.0,1.0,11.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,32.82068792629513
32,2.0,2.0,12.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,27.762007268535392
33,3.0,3.0,13.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,32.88112344491832
34,4.0,4.0,14.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,27.869699304885692
35,5.0,5.0,15.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,33.24063082538671
36,6.0,6.0,16.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,28.916925001301053
37,7.0,7.0,17.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,34.324653614573876
38,8.0,8.0,18.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,31.75764937932642
39,9.0,9.0,19.0,305.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,29.924770159185176
40,0.0,0.0,10.0,381.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,30.8316540219159
41,1.0,1.0,11.0,381.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,32.04466937917934
42,2.0,2.0,12.0,381.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,27.221188164445536
43,3.0,3.0,13.0,381.0,170.0,0.03,2.0,1.0,600.0,0.997,1.0,31.899854272366568
