,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,0.0,50.0,127.0,424.0,0.005,3.0,800.0,42.60006557070066
1,1.0,1.0,51.0,127.0,424.0,0.005,3.0,800.0,39.66647291739324
2,2.0,2.0,52.0,127.0,424.0,0.005,3.0,800.0,36.86422303087327
3,3.0,3.0,53.0,127.0,424.0,0.005,3.0,800.0,41.81285463099628
4,4.0,4.0,54.0,127.0,424.0,0.005,3.0,800.0,41.04159481020241
5,5.0,5.0,55.0,127.0,424.0,0.005,3.0,800.0,39.31456338117936
6,6.0,6.0,56.0,127.0,424.0,0.005,3.0,800.0,38.28050829971
7,7.0,7.0,57.0,127.0,424.0,0.005,3.0,800.0,40.8954886169352
8,8.0,8.0,58.0,127.0,424.0,0.005,3.0,800.0,40.316467535932674
9,9.0,9.0,59.0,127.0,424.0,0.005,3.0,800.0,38.495498684105364
10,10.0,10.0,60.0,127.0,424.0,0.005,3.0,800.0,41.525241000925526
11,11.0,11.0,61.0,127.0,424.0,0.005,3.0,800.0,40.07468767109857
12,12.0,12.0,62.0,127.0,424.0,0.005,3.0,800.0,36.3441524849211
13,13.0,13.0,63.0,127.0,424.0,0.005,3.0,800.0,35.89732258620042
14,14.0,14.0,64.0,127.0,424.0,0.005,3.0,800.0,41.89723944673931
15,15.0,15.0,65.0,127.0,424.0,0.005,3.0,800.0,38.94148742009172
16,16.0,16.0,66.0,127.0,424.0,0.005,3.0,800.0,40.799727631543924
17,17.0,17.0,67.0,127.0,424.0,0.005,3.0,800.0,49.818541238264324
18,18.0,18.0,68.0,127.0,424.0,0.005,3.0,800.0,37.42748273259068
19,19.0,19.0,69.0,127.0,424.0,0.005,3.0,800.0,37.970405757633934
20,20.0,20.0,70.0,127.0,424.0,0.005,3.0,800.0,39.86922692718132
21,21.0,21.0,71.0,127.0,424.0,0.005,3.0,800.0,38.70334388477993
22,22.0,22.0,72.0,127.0,424.0,0.005,3.0,800.0,38.927921206728335
23,23.0,23.0,73.0,127.0,424.0,0.005,3.0,800.0,40.46493094546519
24,24.0,24.0,74.0,127.0,424.0,0.005,3.0,800.0,42.080339353170736
25,25.0,25.0,75.0,127.0,424.0,0.005,3.0,800.0,37.548822536454956
26,26.0,26.0,76.0,127.0,424.0,0.005,3.0,800.0,45.21846706047485
27,27.0,27.0,77.0,127.0,424.0,0.005,3.0,800.0,40.54441466124263
28,28.0,28.0,78.0,127.0,424.0,0.005,3.0,800.0,34.642287285218345
29,29.0,29.0,79.0,127.0,424.0,0.005,3.0,800.0,40.16144687502568
30,30.0,30.0,80.0,127.0,424.0,0.005,3.0,800.0,36.25788385198952
31,31.0,31.0,81.0,127.0,424.0,0.005,3.0,800.0,38.25830417476664
32,32.0,32.0,82.0,127.0,424.0,0.005,3.0,800.0,41.39645708403578
33,33.0,33.0,83.0,127.0,424.0,0.005,3.0,800.0,41.426637561047585
34,34.0,34.0,84.0,127.0,424.0,0.005,3.0,800.0,39.760797215360675
35,35.0,35.0,85.0,127.0,424.0,0.005,3.0,800.0,39.079042523584924
36,36.0,36.0,86.0,127.0,424.0,0.005,3.0,800.0,34.869365123020835
37,37.0,37.0,87.0,127.0,424.0,0.005,3.0,800.0,32.91384316305423
38,38.0,38.0,88.0,127.0,424.0,0.005,3.0,800.0,38.355575726262984
39,39.0,39.0,89.0,127.0,424.0,0.005,3.0,800.0,34.27104467696229
40,40.0,40.0,90.0,127.0,424.0,0.005,3.0,800.0,41.804778160093505
41,41.0,41.0,91.0,127.0,424.0,0.005,3.0,800.0,34.6479411911691
42,42.0,42.0,92.0,127.0,424.0,0.005,3.0,800.0,36.71960872298304
43,43.0,43.0,93.0,127.0,424.0,0.005,3.0,800.0,35.58259853312856
44,44.0,44.0,94.0,127.0,424.0,0.005,3.0,800.0,37.64029169392886
45,45.0,45.0,95.0,127.0,424.0,0.005,3.0,800.0,33.90392623273645
46,46.0,46.0,96.0,127.0,424.0,0.005,3.0,800.0,41.12018731843408
47,47.0,47.0,97.0,127.0,424.0,0.005,3.0,800.0,39.82463241187503
48,48.0,48.0,98.0,127.0,424.0,0.005,3.0,800.0,40.83325814298976
49,49.0,49.0,99.0,127.0,424.0,0.005,3.0,800.0,39.49275693490083
50,0.0,0.0,50.0,317.0,424.0,0.01,2.0,400.0,35.12608415209755
51,1.0,1.0,51.0,317.0,424.0,0.01,2.0,400.0,35.502938974322866
52,2.0,2.0,52.0,317.0,424.0,0.01,2.0,400.0,31.71827147660654
53,3.0,3.0,53.0,317.0,424.0,0.01,2.0,400.0,36.67995310052866
