,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,1.0,1.0,142.0,475.0,0.003,1.0,200.0,5.98168311020584
1,1.0,1.0,1.0,142.0,475.0,0.003,1.0,400.0,4.478061091265463
2,2.0,1.0,1.0,142.0,475.0,0.003,1.0,600.0,3.6191949704445956
3,3.0,1.0,1.0,142.0,475.0,0.003,1.0,800.0,3.142640961300958
4,4.0,1.0,1.0,142.0,475.0,0.003,2.0,200.0,5.235993594691458
5,5.0,1.0,1.0,142.0,475.0,0.003,2.0,400.0,3.5815276643764493
6,6.0,1.0,1.0,142.0,475.0,0.003,2.0,600.0,2.925319842767891
7,7.0,1.0,1.0,142.0,475.0,0.003,2.0,800.0,2.704910797812602
8,8.0,1.0,1.0,142.0,475.0,0.003,3.0,200.0,5.217554791977344
9,9.0,1.0,1.0,142.0,475.0,0.003,3.0,400.0,3.6016518162977613
10,10.0,1.0,1.0,142.0,475.0,0.003,3.0,600.0,2.9712670832611643
11,11.0,1.0,1.0,142.0,475.0,0.003,3.0,800.0,2.7593904338035937
12,12.0,1.0,1.0,142.0,475.0,0.003,4.0,200.0,5.216461888613813
13,13.0,1.0,1.0,142.0,475.0,0.003,4.0,400.0,3.600033500651167
14,14.0,1.0,1.0,142.0,475.0,0.003,4.0,600.0,2.967374888601602
15,15.0,1.0,1.0,142.0,475.0,0.003,4.0,800.0,2.757596125462034
16,16.0,1.0,1.0,142.0,475.0,0.003,5.0,200.0,5.216823678795665
17,17.0,1.0,1.0,142.0,475.0,0.003,5.0,400.0,3.6007218864849246
18,18.0,1.0,1.0,142.0,475.0,0.003,5.0,600.0,2.9676319457646505
19,19.0,1.0,1.0,142.0,475.0,0.003,5.0,800.0,2.757524439527458
20,20.0,1.0,1.0,142.0,475.0,0.003,6.0,200.0,5.216973837127012
21,21.0,1.0,1.0,142.0,475.0,0.003,6.0,400.0,3.6007466974317297
22,22.0,1.0,1.0,142.0,475.0,0.003,6.0,600.0,2.966807411264718
23,23.0,1.0,1.0,142.0,475.0,0.003,6.0,800.0,2.7560130141239934
24,24.0,1.0,1.0,142.0,475.0,0.005,1.0,200.0,4.889640833396152
25,25.0,1.0,1.0,142.0,475.0,0.005,1.0,400.0,3.426510167706826
26,26.0,1.0,1.0,142.0,475.0,0.005,1.0,600.0,2.889416809261968
27,27.0,1.0,1.0,142.0,475.0,0.005,1.0,800.0,2.7308964176189905
28,28.0,1.0,1.0,142.0,475.0,0.005,2.0,200.0,3.9859593768034274
29,29.0,1.0,1.0,142.0,475.0,0.005,2.0,400.0,2.820669386205244
30,30.0,1.0,1.0,142.0,475.0,0.005,2.0,600.0,2.647826005174835
31,31.0,1.0,1.0,142.0,475.0,0.005,2.0,800.0,2.649989253843755
32,32.0,1.0,1.0,142.0,475.0,0.005,3.0,200.0,3.991154499463998
33,33.0,1.0,1.0,142.0,475.0,0.005,3.0,400.0,2.8665187267957526
34,34.0,1.0,1.0,142.0,475.0,0.005,3.0,600.0,2.699225433941936
35,35.0,1.0,1.0,142.0,475.0,0.005,3.0,800.0,2.6965641256177895
36,36.0,1.0,1.0,142.0,475.0,0.005,4.0,200.0,3.991632017715826
37,37.0,1.0,1.0,142.0,475.0,0.005,4.0,400.0,2.859994607663343
38,38.0,1.0,1.0,142.0,475.0,0.005,4.0,600.0,2.6967424829596354
39,39.0,1.0,1.0,142.0,475.0,0.005,4.0,800.0,2.692116972399179
40,40.0,1.0,1.0,142.0,475.0,0.005,5.0,200.0,3.992334333804955
41,41.0,1.0,1.0,142.0,475.0,0.005,5.0,400.0,2.8589774074037013
42,42.0,1.0,1.0,142.0,475.0,0.005,5.0,600.0,2.69508613294251
43,43.0,1.0,1.0,142.0,475.0,0.005,5.0,800.0,2.6942527154453293
44,44.0,1.0,1.0,142.0,475.0,0.005,6.0,200.0,3.9906024884043747
45,45.0,1.0,1.0,142.0,475.0,0.005,6.0,400.0,2.8594988996520274
46,46.0,1.0,1.0,142.0,475.0,0.005,6.0,600.0,2.6959939550054868
47,47.0,1.0,1.0,142.0,475.0,0.005,6.0,800.0,2.6919587152996702
