,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,1.0,1.0,142.0,475.0,0.003,1.0,200.0,132.67073654216227
1,1.0,1.0,1.0,142.0,475.0,0.003,1.0,400.0,112.39908573835926
2,2.0,1.0,1.0,142.0,475.0,0.003,1.0,600.0,101.05765256956371
3,3.0,1.0,1.0,142.0,475.0,0.003,1.0,800.0,94.72072159417462
4,4.0,1.0,1.0,142.0,475.0,0.003,2.0,200.0,124.43046207860716
5,5.0,1.0,1.0,142.0,475.0,0.003,2.0,400.0,101.91026759098979
6,6.0,1.0,1.0,142.0,475.0,0.003,2.0,600.0,92.70188237362159
7,7.0,1.0,1.0,142.0,475.0,0.003,2.0,800.0,89.0475699673512
8,8.0,1.0,1.0,142.0,475.0,0.003,3.0,200.0,123.57512521764131
9,9.0,1.0,1.0,142.0,475.0,0.003,3.0,400.0,101.4174650772542
10,10.0,1.0,1.0,142.0,475.0,0.003,3.0,600.0,92.00670843436902
11,11.0,1.0,1.0,142.0,475.0,0.003,3.0,800.0,88.41107100216762
12,12.0,1.0,1.0,142.0,475.0,0.003,4.0,200.0,123.55974547580013
13,13.0,1.0,1.0,142.0,475.0,0.003,4.0,400.0,101.4129362684267
14,14.0,1.0,1.0,142.0,475.0,0.003,4.0,600.0,91.99625505410025
15,15.0,1.0,1.0,142.0,475.0,0.003,4.0,800.0,88.36330591692379
16,16.0,1.0,1.0,142.0,475.0,0.003,5.0,200.0,123.57571071531004
17,17.0,1.0,1.0,142.0,475.0,0.003,5.0,400.0,101.40140813508397
18,18.0,1.0,1.0,142.0,475.0,0.003,5.0,600.0,92.0233873930305
19,19.0,1.0,1.0,142.0,475.0,0.003,5.0,800.0,88.37971295030168
20,20.0,1.0,1.0,142.0,475.0,0.003,6.0,200.0,123.56809717879354
21,21.0,1.0,1.0,142.0,475.0,0.003,6.0,400.0,101.4165559580023
22,22.0,1.0,1.0,142.0,475.0,0.003,6.0,600.0,92.00747088553366
23,23.0,1.0,1.0,142.0,475.0,0.003,6.0,800.0,88.38275480745766
24,24.0,1.0,1.0,142.0,475.0,0.005,1.0,200.0,117.7830915901226
25,25.0,1.0,1.0,142.0,475.0,0.005,1.0,400.0,98.47653422164504
26,26.0,1.0,1.0,142.0,475.0,0.005,1.0,600.0,91.27729833358534
27,27.0,1.0,1.0,142.0,475.0,0.005,1.0,800.0,88.35096471920802
28,28.0,1.0,1.0,142.0,475.0,0.005,2.0,200.0,107.46280583831233
29,29.0,1.0,1.0,142.0,475.0,0.005,2.0,400.0,91.1106710632871
30,30.0,1.0,1.0,142.0,475.0,0.005,2.0,600.0,87.71897426388522
31,31.0,1.0,1.0,142.0,475.0,0.005,2.0,800.0,87.03882057637716
32,32.0,1.0,1.0,142.0,475.0,0.005,3.0,200.0,106.81370447380877
33,33.0,1.0,1.0,142.0,475.0,0.005,3.0,400.0,90.38373528045628
34,34.0,1.0,1.0,142.0,475.0,0.005,3.0,600.0,87.00934400223706
35,35.0,1.0,1.0,142.0,475.0,0.005,3.0,800.0,86.08626151411278
36,36.0,1.0,1.0,142.0,475.0,0.005,4.0,200.0,106.81646998789108
37,37.0,1.0,1.0,142.0,475.0,0.005,4.0,400.0,90.31208806319727
38,38.0,1.0,1.0,142.0,475.0,0.005,4.0,600.0,86.89022202451298
39,39.0,1.0,1.0,142.0,475.0,0.005,4.0,800.0,85.90483696605354
40,40.0,1.0,1.0,142.0,475.0,0.005,5.0,200.0,106.84615333247433
41,41.0,1.0,1.0,142.0,475.0,0.005,5.0,400.0,90.33857547158439
42,42.0,1.0,1.0,142.0,475.0,0.005,5.0,600.0,86.939439819797
43,43.0,1.0,1.0,142.0,475.0,0.005,5.0,800.0,85.90855937900538
44,44.0,1.0,1.0,142.0,475.0,0.005,6.0,200.0,106.83898578794938
45,45.0,1.0,1.0,142.0,475.0,0.005,6.0,400.0,90.33077607042728
46,46.0,1.0,1.0,142.0,475.0,0.005,6.0,600.0,86.96478507369564
47,47.0,1.0,1.0,142.0,475.0,0.005,6.0,800.0,85.89263425093336
48,48.0,1.0,1.0,142.0,475.0,0.007,1.0,200.0,107.826505703154
49,49.0,1.0,1.0,142.0,475.0,0.007,1.0,400.0,92.24420536472525
50,50.0,1.0,1.0,142.0,475.0,0.007,1.0,600.0,88.00434227096187
51,51.0,1.0,1.0,142.0,475.0,0.007,1.0,800.0,86.880648970761
52,52.0,1.0,1.0,142.0,475.0,0.007,2.0,200.0,97.90097889205306
53,53.0,1.0,1.0,142.0,475.0,0.007,2.0,400.0,88.02259086602326
54,54.0,1.0,1.0,142.0,475.0,0.007,2.0,600.0,86.92628368153949
55,55.0,1.0,1.0,142.0,475.0,0.007,2.0,800.0,87.31042452012059
56,56.0,1.0,1.0,142.0,475.0,0.007,3.0,200.0,97.37060224075155
57,57.0,1.0,1.0,142.0,475.0,0.007,3.0,400.0,87.2802078690544
58,58.0,1.0,1.0,142.0,475.0,0.007,3.0,600.0,86.09139923333483
59,59.0,1.0,1.0,142.0,475.0,0.007,3.0,800.0,86.10265780861403
60,60.0,1.0,1.0,142.0,475.0,0.007,4.0,200.0,97.36193902312093
61,61.0,1.0,1.0,142.0,475.0,0.007,4.0,400.0,87.27955496723507
62,62.0,1.0,1.0,142.0,475.0,0.007,4.0,600.0,85.93516251955604
63,63.0,1.0,1.0,142.0,475.0,0.007,4.0,800.0,85.95378563056576
64,64.0,1.0,1.0,142.0,475.0,0.007,5.0,200.0,97.36455391254171
65,65.0,1.0,1.0,142.0,475.0,0.007,5.0,400.0,87.23478791740953
66,66.0,1.0,1.0,142.0,475.0,0.007,5.0,600.0,85.9474488623949
67,67.0,1.0,1.0,142.0,475.0,0.007,5.0,800.0,85.88891797965277
68,68.0,1.0,1.0,142.0,475.0,0.007,6.0,200.0,97.38832920194942
69,69.0,1.0,1.0,142.0,475.0,0.007,6.0,400.0,87.26242069454186
70,70.0,1.0,1.0,142.0,475.0,0.007,6.0,600.0,85.97969874349032
71,71.0,1.0,1.0,142.0,475.0,0.007,6.0,800.0,85.93664393828504
72,72.0,1.0,1.0,142.0,475.0,0.01,1.0,200.0,98.37465780827617
73,73.0,1.0,1.0,142.0,475.0,0.01,1.0,400.0,88.2392679493138
74,74.0,1.0,1.0,142.0,475.0,0.01,1.0,600.0,86.68196386120952
75,75.0,1.0,1.0,142.0,475.0,0.01,1.0,800.0,86.37376659505944
76,76.0,1.0,1.0,142.0,475.0,0.01,2.0,200.0,91.13360332183784
77,77.0,1.0,1.0,142.0,475.0,0.01,2.0,400.0,87.0274201044086
78,78.0,1.0,1.0,142.0,475.0,0.01,2.0,600.0,87.2956970616071
79,79.0,1.0,1.0,142.0,475.0,0.01,2.0,800.0,87.09489248529144
80,80.0,1.0,1.0,142.0,475.0,0.01,3.0,200.0,90.27493613731757
81,81.0,1.0,1.0,142.0,475.0,0.01,3.0,400.0,86.0714187402311
82,82.0,1.0,1.0,142.0,475.0,0.01,3.0,600.0,85.99111501728319
83,83.0,1.0,1.0,142.0,475.0,0.01,3.0,800.0,86.05504124528008
84,84.0,1.0,1.0,142.0,475.0,0.01,4.0,200.0,90.2859051278795
85,85.0,1.0,1.0,142.0,475.0,0.01,4.0,400.0,85.82899037095542
86,86.0,1.0,1.0,142.0,475.0,0.01,4.0,600.0,85.83825482717758
87,87.0,1.0,1.0,142.0,475.0,0.01,4.0,800.0,85.75935290839892
88,88.0,1.0,1.0,142.0,475.0,0.01,5.0,200.0,90.25729794376275
89,89.0,1.0,1.0,142.0,475.0,0.01,5.0,400.0,85.8799347029986
90,90.0,1.0,1.0,142.0,475.0,0.01,5.0,600.0,85.89054075451178
91,91.0,1.0,1.0,142.0,475.0,0.01,5.0,800.0,85.74140054217965
92,92.0,1.0,1.0,142.0,475.0,0.01,6.0,200.0,90.26397717452764
93,93.0,1.0,1.0,142.0,475.0,0.01,6.0,400.0,85.83762791750533
94,94.0,1.0,1.0,142.0,475.0,0.01,6.0,600.0,85.86605875208235
95,95.0,1.0,1.0,142.0,475.0,0.01,6.0,800.0,85.72509183943052
96,96.0,1.0,1.0,142.0,475.0,0.03,1.0,200.0,86.5407921294569
97,97.0,1.0,1.0,142.0,475.0,0.03,1.0,400.0,86.26573175657596
98,98.0,1.0,1.0,142.0,475.0,0.03,1.0,600.0,86.68519240798072
99,99.0,1.0,1.0,142.0,475.0,0.03,1.0,800.0,87.086037901842
100,100.0,1.0,1.0,142.0,475.0,0.03,2.0,200.0,87.11469805867357
101,101.0,1.0,1.0,142.0,475.0,0.03,2.0,400.0,87.00548231332225
102,102.0,1.0,1.0,142.0,475.0,0.03,2.0,600.0,87.83596760975396
103,103.0,1.0,1.0,142.0,475.0,0.03,2.0,800.0,88.4986491451976
104,104.0,1.0,1.0,142.0,475.0,0.03,3.0,200.0,85.9209242588155
105,105.0,1.0,1.0,142.0,475.0,0.03,3.0,400.0,86.03658708649189
106,106.0,1.0,1.0,142.0,475.0,0.03,3.0,600.0,86.84866578632693
107,107.0,1.0,1.0,142.0,475.0,0.03,3.0,800.0,87.69739630072574
108,108.0,1.0,1.0,142.0,475.0,0.03,4.0,200.0,85.94640647562463
109,109.0,1.0,1.0,142.0,475.0,0.03,4.0,400.0,85.90360486598188
110,110.0,1.0,1.0,142.0,475.0,0.03,4.0,600.0,86.67826928648124
