,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,400.0,0.97,1.0,4.633583318787679
1,1.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,400.0,0.99,1.0,4.548991406954317
2,2.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,400.0,0.993,1.0,4.5286167050112
3,3.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,400.0,0.995,1.0,4.568442888867555
4,4.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,400.0,0.997,1.0,4.751755867835045
5,5.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,600.0,0.97,1.0,4.341018165657754
6,6.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,600.0,0.99,1.0,4.298686963419526
7,7.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,600.0,0.993,1.0,4.274954697297761
8,8.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,600.0,0.995,1.0,4.21728278966378
9,9.0,1.0,1.0,1258.0,424.0,0.005,1.0,1.0,600.0,0.997,1.0,4.228976433625028
10,10.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,400.0,0.97,1.0,5.047061827009634
11,11.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,400.0,0.99,1.0,4.745691096331036
12,12.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,400.0,0.993,1.0,4.6175290586539
13,13.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,400.0,0.995,1.0,4.532135894596318
14,14.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,400.0,0.997,1.0,4.495360533464642
15,15.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,600.0,0.97,1.0,4.8462960048399175
16,16.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,600.0,0.99,1.0,4.57337871139163
17,17.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,600.0,0.993,1.0,4.410312073055404
18,18.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,600.0,0.995,1.0,4.282301782877406
19,19.0,1.0,1.0,1258.0,424.0,0.005,1.0,2.0,600.0,0.997,1.0,4.135742776407463
20,20.0,1.0,1.0,1258.0,424.0,0.005,1.0,3.0,400.0,0.97,1.0,5.272902347848029
