,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,1.0,1.0,127.0,424.0,0.003,1.0,200.0,5.3778139742782285
1,1.0,1.0,1.0,127.0,424.0,0.003,1.0,400.0,4.725590044685892
2,2.0,1.0,1.0,127.0,424.0,0.003,1.0,600.0,4.451834061315464
3,3.0,1.0,1.0,127.0,424.0,0.003,1.0,800.0,4.37300723918139
4,4.0,1.0,1.0,127.0,424.0,0.003,2.0,200.0,5.042242107476038
5,5.0,1.0,1.0,127.0,424.0,0.003,2.0,400.0,4.461368663832302
6,6.0,1.0,1.0,127.0,424.0,0.003,2.0,600.0,4.339081323658687
7,7.0,1.0,1.0,127.0,424.0,0.003,2.0,800.0,4.33731389579932
8,8.0,1.0,1.0,127.0,424.0,0.003,3.0,200.0,4.978859779278976
9,9.0,1.0,1.0,127.0,424.0,0.003,3.0,400.0,4.389112960264355
10,10.0,1.0,1.0,127.0,424.0,0.003,3.0,600.0,4.273655681083094
11,11.0,1.0,1.0,127.0,424.0,0.003,3.0,800.0,4.278697831114176
12,12.0,1.0,1.0,127.0,424.0,0.003,4.0,200.0,4.978378511594648
13,13.0,1.0,1.0,127.0,424.0,0.003,4.0,400.0,4.388965419400492
14,14.0,1.0,1.0,127.0,424.0,0.003,4.0,600.0,4.274256276910811
15,15.0,1.0,1.0,127.0,424.0,0.003,4.0,800.0,4.2778701321059325
16,16.0,1.0,1.0,127.0,424.0,0.003,5.0,200.0,4.978486583772425
17,17.0,1.0,1.0,127.0,424.0,0.003,5.0,400.0,4.388333727310963
18,18.0,1.0,1.0,127.0,424.0,0.003,5.0,600.0,4.27333943051618
19,19.0,1.0,1.0,127.0,424.0,0.003,5.0,800.0,4.278557115099407
20,20.0,1.0,1.0,127.0,424.0,0.003,6.0,200.0,4.979086391424006
21,21.0,1.0,1.0,127.0,424.0,0.003,6.0,400.0,4.389559227482482
22,22.0,1.0,1.0,127.0,424.0,0.003,6.0,600.0,4.273986901659644
