,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,400.0,0.97,1.0,36.64146990664338
1,1.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,400.0,0.99,1.0,35.19224917676675
2,2.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,400.0,0.993,1.0,34.912777224630624
3,3.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,400.0,0.995,1.0,34.81368596204765
4,4.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,400.0,0.997,1.0,34.649437767342754
5,5.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,600.0,0.97,1.0,36.51454488269508
6,6.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,600.0,0.99,1.0,35.078952931175095
7,7.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,600.0,0.993,1.0,34.925648840392256
8,8.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,600.0,0.995,1.0,34.91009812865529
9,9.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,600.0,0.997,1.0,34.99635769337101
10,10.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,400.0,0.97,1.0,38.48349650345997
11,11.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,400.0,0.99,1.0,36.36033389755372
12,12.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,400.0,0.993,1.0,36.27736326431388
13,13.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,400.0,0.995,1.0,36.216275991533
14,14.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,400.0,0.997,1.0,36.122405898054154
15,15.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,600.0,0.97,1.0,37.86437604615331
16,16.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,600.0,0.99,1.0,36.32258931362789
17,17.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,600.0,0.993,1.0,36.33320671935819
18,18.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,600.0,0.995,1.0,36.38203393893789
19,19.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,600.0,0.997,1.0,36.37141997461877
20,20.0,1.0,1.0,127.0,424.0,0.03,1.0,3.0,400.0,0.97,1.0,47.57200434045882
21,21.0,1.0,1.0,127.0,424.0,0.03,1.0,3.0,400.0,0.99,1.0,36.03514833390852
22,22.0,1.0,1.0,127.0,424.0,0.03,1.0,3.0,400.0,0.993,1.0,36.06171306027394
23,23.0,1.0,1.0,127.0,424.0,0.03,1.0,3.0,400.0,0.995,1.0,36.081632712552896
24,24.0,1.0,1.0,127.0,424.0,0.03,1.0,3.0,400.0,0.997,1.0,36.10550507771471
25,25.0,1.0,1.0,127.0,424.0,0.03,1.0,3.0,600.0,0.97,1.0,47.59547630047836
26,26.0,1.0,1.0,127.0,424.0,0.03,1.0,3.0,600.0,0.99,1.0,35.915766524226356
27,27.0,1.0,1.0,127.0,424.0,0.03,1.0,3.0,600.0,0.993,1.0,35.937744680486624
