,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,1.0,1.0,127.0,424.0,0.003,1.0,200.0,60.0122895520515
1,1.0,1.0,1.0,127.0,424.0,0.003,1.0,400.0,50.312396129512805
2,2.0,1.0,1.0,127.0,424.0,0.003,1.0,600.0,45.11935181226704
3,3.0,1.0,1.0,127.0,424.0,0.003,1.0,800.0,42.456187798941215
4,4.0,1.0,1.0,127.0,424.0,0.003,2.0,200.0,55.5403074478043
5,5.0,1.0,1.0,127.0,424.0,0.003,2.0,400.0,45.42452908946816
6,6.0,1.0,1.0,127.0,424.0,0.003,2.0,600.0,41.676311692070115
7,7.0,1.0,1.0,127.0,424.0,0.003,2.0,800.0,40.571955466603626
8,8.0,1.0,1.0,127.0,424.0,0.003,3.0,200.0,55.05823778337932
9,9.0,1.0,1.0,127.0,424.0,0.003,3.0,400.0,44.84941339132055
10,10.0,1.0,1.0,127.0,424.0,0.003,3.0,600.0,41.554442145429
11,11.0,1.0,1.0,127.0,424.0,0.003,3.0,800.0,40.65670403396606
12,12.0,1.0,1.0,127.0,424.0,0.003,4.0,200.0,55.06375499402008
13,13.0,1.0,1.0,127.0,424.0,0.003,4.0,400.0,44.846275601184786
14,14.0,1.0,1.0,127.0,424.0,0.003,4.0,600.0,41.54575534701537
15,15.0,1.0,1.0,127.0,424.0,0.003,4.0,800.0,40.64356825407132
16,16.0,1.0,1.0,127.0,424.0,0.003,5.0,200.0,55.05396930401546
17,17.0,1.0,1.0,127.0,424.0,0.003,5.0,400.0,44.85218538772936
18,18.0,1.0,1.0,127.0,424.0,0.003,5.0,600.0,41.54225352747914
19,19.0,1.0,1.0,127.0,424.0,0.003,5.0,800.0,40.6533013631271
20,20.0,1.0,1.0,127.0,424.0,0.003,6.0,200.0,55.06091572778153
21,21.0,1.0,1.0,127.0,424.0,0.003,6.0,400.0,44.85162490309321
22,22.0,1.0,1.0,127.0,424.0,0.003,6.0,600.0,41.55024202803344
23,23.0,1.0,1.0,127.0,424.0,0.003,6.0,800.0,40.645342173279886
24,24.0,1.0,1.0,127.0,424.0,0.005,1.0,200.0,52.907943736427015
25,25.0,1.0,1.0,127.0,424.0,0.005,1.0,400.0,43.995432196622154
26,26.0,1.0,1.0,127.0,424.0,0.005,1.0,600.0,41.22262554247001
27,27.0,1.0,1.0,127.0,424.0,0.005,1.0,800.0,40.71371284995939
28,28.0,1.0,1.0,127.0,424.0,0.005,2.0,200.0,47.768624845773125
29,29.0,1.0,1.0,127.0,424.0,0.005,2.0,400.0,41.13458762575715
