,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,0.0,10.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.9536380975450776
1,1.0,1.0,11.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.430588742697168
2,2.0,2.0,12.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.9777489846397314
3,3.0,3.0,13.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,2.2943387980491363
4,4.0,4.0,14.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.3692725028238464
5,5.0,5.0,15.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,2.1169366660896327
6,6.0,6.0,16.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.7051830554830272
7,7.0,7.0,17.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.6313938243008081
8,8.0,8.0,18.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.9298482986785306
9,9.0,9.0,19.0,63.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,2.4951301040520106
10,0.0,0.0,10.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.7781843826667032
11,1.0,1.0,11.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.3322685737640825
12,2.0,2.0,12.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.8415250280599942
13,3.0,3.0,13.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,2.1245064275508225
14,4.0,4.0,14.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.2294042130452034
15,5.0,5.0,15.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.510995959810198
16,6.0,6.0,16.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.4837917644307215
17,7.0,7.0,17.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.620527399080707
18,8.0,8.0,18.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.936966189418499
19,9.0,9.0,19.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.627725361689458
20,0.0,0.0,10.0,190.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.8474071661166238
21,1.0,1.0,11.0,190.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.3208422113262666
