,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
30,30.0,1.0,1.0,142.0,475.0,0.005,2.0,600.0,6.613422625912768
31,31.0,1.0,1.0,142.0,475.0,0.005,2.0,800.0,6.586917512808709
51,51.0,1.0,1.0,142.0,475.0,0.007,1.0,800.0,6.597924628750792
53,53.0,1.0,1.0,142.0,475.0,0.007,2.0,400.0,6.605328182187894
54,54.0,1.0,1.0,142.0,475.0,0.007,2.0,600.0,6.588080153050744
74,74.0,1.0,1.0,142.0,475.0,0.01,1.0,600.0,6.605180632887056
75,75.0,1.0,1.0,142.0,475.0,0.01,1.0,800.0,6.607195865289892
77,77.0,1.0,1.0,142.0,475.0,0.01,2.0,400.0,6.587720947521088
96,96.0,1.0,1.0,142.0,475.0,0.03,1.0,200.0,6.600136476465098
120,120.0,1.0,1.0,142.0,475.0,0.05,1.0,200.0,6.60295345155544
222,222.0,1.0,1.0,356.0,475.0,0.005,2.0,600.0,6.173295644848231
243,243.0,1.0,1.0,356.0,475.0,0.007,1.0,800.0,6.124202417159922
245,245.0,1.0,1.0,356.0,475.0,0.007,2.0,400.0,6.168891796940502
266,266.0,1.0,1.0,356.0,475.0,0.01,1.0,600.0,6.111060903277
267,267.0,1.0,1.0,356.0,475.0,0.01,1.0,800.0,6.092102002329254
288,288.0,1.0,1.0,356.0,475.0,0.03,1.0,200.0,6.113030444329516
289,289.0,1.0,1.0,356.0,475.0,0.03,1.0,400.0,6.108611820276062
290,290.0,1.0,1.0,356.0,475.0,0.03,1.0,600.0,6.166866705802945
312,312.0,1.0,1.0,356.0,475.0,0.05,1.0,200.0,6.093900944120157
336,336.0,1.0,1.0,356.0,475.0,0.07,1.0,200.0,6.136827259367427
419,419.0,1.0,1.0,712.0,475.0,0.005,3.0,800.0,5.909566806965776
465,465.0,1.0,1.0,712.0,475.0,0.01,3.0,400.0,5.903545677785668
483,483.0,1.0,1.0,712.0,475.0,0.03,1.0,800.0,5.907211603142916
505,505.0,1.0,1.0,712.0,475.0,0.05,1.0,400.0,5.906465632115047
506,506.0,1.0,1.0,712.0,475.0,0.05,1.0,600.0,5.900301982382413
507,507.0,1.0,1.0,712.0,475.0,0.05,1.0,800.0,5.900845103897706
529,529.0,1.0,1.0,712.0,475.0,0.07,1.0,400.0,5.898830362655449
530,530.0,1.0,1.0,712.0,475.0,0.07,1.0,600.0,5.899628566178417
552,552.0,1.0,1.0,712.0,475.0,0.1,1.0,200.0,5.908155478047717
553,553.0,1.0,1.0,712.0,475.0,0.1,1.0,400.0,5.908210705474184
611,611.0,1.0,1.0,1068.0,475.0,0.005,3.0,800.0,5.788217407750106
631,631.0,1.0,1.0,1068.0,475.0,0.007,2.0,800.0,5.773931267844239
634,634.0,1.0,1.0,1068.0,475.0,0.007,3.0,600.0,5.785554139407706
639,639.0,1.0,1.0,1068.0,475.0,0.007,4.0,800.0,5.779990099201041
642,642.0,1.0,1.0,1068.0,475.0,0.007,5.0,600.0,5.791503956128813
654,654.0,1.0,1.0,1068.0,475.0,0.01,2.0,600.0,5.770886936948982
655,655.0,1.0,1.0,1068.0,475.0,0.01,2.0,800.0,5.777717863760461
657,657.0,1.0,1.0,1068.0,475.0,0.01,3.0,400.0,5.787923508478451
676,676.0,1.0,1.0,1068.0,475.0,0.03,2.0,200.0,5.776244412111448
684,684.0,1.0,1.0,1068.0,475.0,0.03,4.0,200.0,5.778548504078742
826,826.0,1.0,1.0,1410.0,475.0,0.007,3.0,600.0,5.69980749842493
827,827.0,1.0,1.0,1410.0,475.0,0.007,3.0,800.0,5.695548992558035
831,831.0,1.0,1.0,1410.0,475.0,0.007,4.0,800.0,5.695174162588716
846,846.0,1.0,1.0,1410.0,475.0,0.01,2.0,600.0,5.707043375219924
847,847.0,1.0,1.0,1410.0,475.0,0.01,2.0,800.0,5.685229469735464
849,849.0,1.0,1.0,1410.0,475.0,0.01,3.0,400.0,5.704472165846188
850,850.0,1.0,1.0,1410.0,475.0,0.01,3.0,600.0,5.698386880435712
854,854.0,1.0,1.0,1410.0,475.0,0.01,4.0,600.0,5.700132996596018
868,868.0,1.0,1.0,1410.0,475.0,0.03,2.0,200.0,5.707620307021067
872,872.0,1.0,1.0,1410.0,475.0,0.03,3.0,200.0,5.696577941667406
