,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
1629,29,29.0,1.0,1.0,142.0,475.0,0.01,1.0,3.0,600.0,0.997,1.0,2.451889732319417
2411,11,11.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.99,1.0,2.427038548609904
2412,12,12.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.993,1.0,2.409533843697599
2413,13,13.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.995,1.0,2.4333007171627354
2414,14,14.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.997,1.0,2.442720103004796
2416,16,16.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.99,1.0,2.443706838902929
2417,17,17.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,2.4351095845317685
2421,21,21.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,2.4301377878100943
3230,30,30.0,1.0,1.0,142.0,475.0,0.07,1.0,4.0,400.0,0.97,1.0,2.43814454226417
3235,35,35.0,1.0,1.0,142.0,475.0,0.07,1.0,4.0,600.0,0.97,1.0,2.437718400165242
2562,162,162.0,1.0,1.0,356.0,475.0,0.03,1.0,1.0,400.0,0.993,1.0,2.188343550212804
2563,163,163.0,1.0,1.0,356.0,475.0,0.03,1.0,1.0,400.0,0.995,1.0,2.191182759354851
2567,167,167.0,1.0,1.0,356.0,475.0,0.03,1.0,1.0,600.0,0.993,1.0,2.1984253825822537
2568,168,168.0,1.0,1.0,356.0,475.0,0.03,1.0,1.0,600.0,0.995,1.0,2.1914781271870667
2569,169,169.0,1.0,1.0,356.0,475.0,0.03,1.0,1.0,600.0,0.997,1.0,2.185352490003376
2571,171,171.0,1.0,1.0,356.0,475.0,0.03,1.0,2.0,400.0,0.99,1.0,2.202450933537281
2572,172,172.0,1.0,1.0,356.0,475.0,0.03,1.0,2.0,400.0,0.993,1.0,2.1987512017855995
2573,173,173.0,1.0,1.0,356.0,475.0,0.03,1.0,2.0,400.0,0.995,1.0,2.2069500018504926
3363,163,163.0,1.0,1.0,356.0,475.0,0.07,1.0,1.0,400.0,0.995,1.0,2.2094291859856643
3364,164,164.0,1.0,1.0,356.0,475.0,0.07,1.0,1.0,400.0,0.997,1.0,2.2038392559102435
2008,408,408.0,1.0,1.0,712.0,475.0,0.01,3.0,1.0,600.0,0.995,1.0,2.178333091911681
2025,425,425.0,1.0,1.0,712.0,475.0,0.01,3.0,3.0,600.0,0.97,1.0,2.1788719763303352
2076,476,476.0,1.0,1.0,712.0,475.0,0.01,4.0,4.0,600.0,0.99,1.0,2.1824603138193885
2726,326,326.0,1.0,1.0,712.0,475.0,0.03,1.0,1.0,600.0,0.99,1.0,2.1818879405957468
2727,327,327.0,1.0,1.0,712.0,475.0,0.03,1.0,1.0,600.0,0.993,1.0,2.179627904852416
2748,348,348.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,600.0,0.995,1.0,2.180526532002052
2764,364,364.0,1.0,1.0,712.0,475.0,0.03,2.0,1.0,400.0,0.997,1.0,2.174505884007145
2804,404,404.0,1.0,1.0,712.0,475.0,0.03,3.0,1.0,400.0,0.997,1.0,2.1835672226842333
3521,321,321.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,2.182577829421428
3522,322,322.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,400.0,0.993,1.0,2.179661521890452
2227,627,627.0,1.0,1.0,1068.0,475.0,0.01,4.0,3.0,600.0,0.993,1.0,2.174318069105197
2930,530,530.0,1.0,1.0,1068.0,475.0,0.03,2.0,2.0,400.0,0.97,1.0,2.1712874600441405
2940,540,540.0,1.0,1.0,1068.0,475.0,0.03,2.0,3.0,400.0,0.97,1.0,2.168323472763264
2950,550,550.0,1.0,1.0,1068.0,475.0,0.03,2.0,4.0,400.0,0.97,1.0,2.164645730989582
2951,551,551.0,1.0,1.0,1068.0,475.0,0.03,2.0,4.0,400.0,0.99,1.0,2.1686232274444888
2952,552,552.0,1.0,1.0,1068.0,475.0,0.03,2.0,4.0,400.0,0.993,1.0,2.1730469492340907
3681,481,481.0,1.0,1.0,1068.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,2.17443225355179
3700,500,500.0,1.0,1.0,1068.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,2.171021622894614
3714,514,514.0,1.0,1.0,1068.0,475.0,0.07,1.0,4.0,400.0,0.997,1.0,2.171516055900786
3719,519,519.0,1.0,1.0,1068.0,475.0,0.07,1.0,4.0,600.0,0.997,1.0,2.173786979953499
3841,641,641.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,2.1623934053896825
3845,645,645.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,600.0,0.97,1.0,2.157929960141839
3846,646,646.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,600.0,0.99,1.0,2.156152572762571
3847,647,647.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,600.0,0.993,1.0,2.155187453260341
3848,648,648.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,600.0,0.995,1.0,2.155508195527705
3855,655,655.0,1.0,1.0,1410.0,475.0,0.07,1.0,2.0,600.0,0.97,1.0,2.1621854242327374
3870,670,670.0,1.0,1.0,1410.0,475.0,0.07,1.0,4.0,400.0,0.97,1.0,2.155129291511015
3875,675,675.0,1.0,1.0,1410.0,475.0,0.07,1.0,4.0,600.0,0.97,1.0,2.153472020070065
3876,676,676.0,1.0,1.0,1410.0,475.0,0.07,1.0,4.0,600.0,0.99,1.0,2.156609447277641
3924,724,724.0,1.0,1.0,1410.0,475.0,0.07,3.0,1.0,400.0,0.997,1.0,2.162825418095715
