,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
577,655.0,1.0,1.0,1068.0,475.0,0.01,2.0,800.0,2.184898456823928,80,2,34
390,463.0,1.0,1.0,712.0,475.0,0.01,2.0,800.0,2.194352038642024,80,7,34
204,271.0,1.0,1.0,356.0,475.0,0.01,2.0,800.0,2.2814665513213925,80,13,34
775,847.0,1.0,1.0,1410.0,475.0,0.01,2.0,800.0,2.16651431451632,80,8,34
3,79.0,1.0,1.0,142.0,475.0,0.01,2.0,800.0,2.6459036080861207,80,4,34
783,868.0,1.0,1.0,1410.0,475.0,0.03,2.0,200.0,2.172497398051205,101,16,37
387,484.0,1.0,1.0,712.0,475.0,0.03,2.0,200.0,2.188095513792439,101,4,37
579,676.0,1.0,1.0,1068.0,475.0,0.03,2.0,200.0,2.18995254585901,101,4,37
203,292.0,1.0,1.0,356.0,475.0,0.03,2.0,200.0,2.280472644916384,101,12,37
0,100.0,1.0,1.0,142.0,475.0,0.03,2.0,200.0,2.643250780586473,101,1,37
2,78.0,1.0,1.0,142.0,475.0,0.01,2.0,600.0,2.643994707048112,79,3,58
202,270.0,1.0,1.0,356.0,475.0,0.01,2.0,600.0,2.278164527809012,79,11,58
798,846.0,1.0,1.0,1410.0,475.0,0.01,2.0,600.0,2.1752554537501902,79,31,58
388,462.0,1.0,1.0,712.0,475.0,0.01,2.0,600.0,2.189209316414741,79,5,58
583,654.0,1.0,1.0,1068.0,475.0,0.01,2.0,600.0,2.1951789301677547,79,8,58
578,700.0,1.0,1.0,1068.0,475.0,0.05,2.0,200.0,2.1853148388434045,125,3,67
391,508.0,1.0,1.0,712.0,475.0,0.05,2.0,200.0,2.201949527124262,125,8,67
9,124.0,1.0,1.0,142.0,475.0,0.05,2.0,200.0,2.661190933415814,125,10,67
790,892.0,1.0,1.0,1410.0,475.0,0.05,2.0,200.0,2.1739097422353573,125,23,67
214,316.0,1.0,1.0,356.0,475.0,0.05,2.0,200.0,2.2931311944627613,125,23,67
1,55.0,1.0,1.0,142.0,475.0,0.007,2.0,800.0,2.6437635383052296,56,2,75
591,631.0,1.0,1.0,1068.0,475.0,0.007,2.0,800.0,2.200770609860331,56,16,75
811,823.0,1.0,1.0,1410.0,475.0,0.007,2.0,800.0,2.1810725525839207,56,44,75
198,247.0,1.0,1.0,356.0,475.0,0.007,2.0,800.0,2.2740560542983315,56,7,75
389,439.0,1.0,1.0,712.0,475.0,0.007,2.0,800.0,2.189220916341996,56,6,75
768,857.0,1.0,1.0,1410.0,475.0,0.01,5.0,400.0,2.1617788880276363,90,1,82
208,281.0,1.0,1.0,356.0,475.0,0.01,5.0,400.0,2.290761408842184,90,17,82
405,473.0,1.0,1.0,712.0,475.0,0.01,5.0,400.0,2.2103585573696094,90,22,82
599,665.0,1.0,1.0,1068.0,475.0,0.01,5.0,400.0,2.2036829911620357,90,24,82
17,89.0,1.0,1.0,142.0,475.0,0.01,5.0,400.0,2.687096152313924,90,18,82
587,661.0,1.0,1.0,1068.0,475.0,0.01,4.0,400.0,2.196363706476448,86,12,96
16,85.0,1.0,1.0,142.0,475.0,0.01,4.0,400.0,2.686899881142464,86,17,96
392,469.0,1.0,1.0,712.0,475.0,0.01,4.0,400.0,2.2039576638621954,86,9,96
793,853.0,1.0,1.0,1410.0,475.0,0.01,4.0,400.0,2.1742922302059693,86,26,96
223,277.0,1.0,1.0,356.0,475.0,0.01,4.0,400.0,2.301970116771991,86,32,96
597,698.0,1.0,1.0,1068.0,475.0,0.05,1.0,600.0,2.2034202584283453,123,22,97
776,890.0,1.0,1.0,1410.0,475.0,0.05,1.0,600.0,2.1675645822221634,123,9,97
397,506.0,1.0,1.0,712.0,475.0,0.05,1.0,600.0,2.206021900288367,123,14,97
206,314.0,1.0,1.0,356.0,475.0,0.05,1.0,600.0,2.284130516064703,123,15,97
36,122.0,1.0,1.0,142.0,475.0,0.05,1.0,600.0,2.6993004143732637,123,37,97
212,235.0,1.0,1.0,356.0,475.0,0.005,5.0,800.0,2.2923658023521725,44,21,102
26,43.0,1.0,1.0,142.0,475.0,0.005,5.0,800.0,2.6942527154453293,44,27,102
401,427.0,1.0,1.0,712.0,475.0,0.005,5.0,800.0,2.2091979614134543,44,18,102
770,811.0,1.0,1.0,1410.0,475.0,0.005,5.0,800.0,2.165029273482768,44,3,102
608,619.0,1.0,1.0,1068.0,475.0,0.005,5.0,800.0,2.2064808072121376,44,33,102
11,101.0,1.0,1.0,142.0,475.0,0.03,2.0,400.0,2.675474073693317,102,12,103
199,291.0,1.0,1.0,356.0,475.0,0.03,1.0,800.0,2.2750171490593707,100,8,103
229,293.0,1.0,1.0,356.0,475.0,0.03,2.0,400.0,2.3072468668895048,102,38,103
601,675.0,1.0,1.0,1068.0,475.0,0.03,1.0,800.0,2.205290118170282,100,26,103
576,677.0,1.0,1.0,1068.0,475.0,0.03,2.0,400.0,2.1844484949582545,102,1,103
394,483.0,1.0,1.0,712.0,475.0,0.03,1.0,800.0,2.2042661931165166,100,11,103
393,485.0,1.0,1.0,712.0,475.0,0.03,2.0,400.0,2.2041810899383694,102,10,103
40,99.0,1.0,1.0,142.0,475.0,0.03,1.0,800.0,2.7026551219496056,100,41,103
784,867.0,1.0,1.0,1410.0,475.0,0.03,1.0,800.0,2.1732171155056066,100,17,103
809,869.0,1.0,1.0,1410.0,475.0,0.03,2.0,400.0,2.17872853543893,102,42,103
789,826.0,1.0,1.0,1410.0,475.0,0.007,3.0,600.0,2.173842406506794,59,22,106
209,250.0,1.0,1.0,356.0,475.0,0.007,3.0,600.0,2.2915895483819586,59,18,106
384,442.0,1.0,1.0,712.0,475.0,0.007,3.0,600.0,2.1861487996113693,59,1,106
606,634.0,1.0,1.0,1068.0,475.0,0.007,3.0,600.0,2.206197818990196,59,31,106
33,58.0,1.0,1.0,142.0,475.0,0.007,3.0,600.0,2.698650469920812,59,34,106
410,450.0,1.0,1.0,712.0,475.0,0.007,5.0,600.0,2.213236954992101,67,27,108
585,615.0,1.0,1.0,1068.0,475.0,0.005,4.0,800.0,2.196021505183577,40,10,108
395,423.0,1.0,1.0,712.0,475.0,0.005,4.0,800.0,2.205381525932331,40,12,108
600,642.0,1.0,1.0,1068.0,475.0,0.007,5.0,600.0,2.2048491686174945,67,25,108
773,834.0,1.0,1.0,1410.0,475.0,0.007,5.0,600.0,2.165822969297343,67,6,108
795,807.0,1.0,1.0,1410.0,475.0,0.005,4.0,800.0,2.1744629250413547,40,28,108
25,66.0,1.0,1.0,142.0,475.0,0.007,5.0,600.0,2.6934982091263504,67,26,108
215,258.0,1.0,1.0,356.0,475.0,0.007,5.0,600.0,2.2935809594925725,67,24,108
23,39.0,1.0,1.0,142.0,475.0,0.005,4.0,800.0,2.692116972399179,40,24,108
225,231.0,1.0,1.0,356.0,475.0,0.005,4.0,800.0,2.302370639502372,40,34,108
399,505.0,1.0,1.0,712.0,475.0,0.05,1.0,400.0,2.207754155745631,122,16,112
613,697.0,1.0,1.0,1068.0,475.0,0.05,1.0,400.0,2.208557118464807,122,38,112
12,121.0,1.0,1.0,142.0,475.0,0.05,1.0,400.0,2.6783735736893104,122,13,112
195,313.0,1.0,1.0,356.0,475.0,0.05,1.0,400.0,2.267867066256583,122,4,112
808,889.0,1.0,1.0,1410.0,475.0,0.05,1.0,400.0,2.178263673513529,122,41,112
800,849.0,1.0,1.0,1410.0,475.0,0.01,3.0,400.0,2.1761936450475186,82,33,116
211,273.0,1.0,1.0,356.0,475.0,0.01,3.0,400.0,2.291729798640373,82,20,116
386,465.0,1.0,1.0,712.0,475.0,0.01,3.0,400.0,2.187998439940572,82,3,116
610,657.0,1.0,1.0,1068.0,475.0,0.01,3.0,400.0,2.207314596976156,82,35,116
24,81.0,1.0,1.0,142.0,475.0,0.01,3.0,400.0,2.6929681951696547,82,25,116
385,419.0,1.0,1.0,712.0,475.0,0.005,3.0,800.0,2.18695530205,36,2,122
30,35.0,1.0,1.0,142.0,475.0,0.005,3.0,800.0,2.696564125617789,36,31,122
210,227.0,1.0,1.0,356.0,475.0,0.005,3.0,800.0,2.2917108343231902,36,19,122
609,611.0,1.0,1.0,1068.0,475.0,0.005,3.0,800.0,2.2066866940598504,36,34,122
803,803.0,1.0,1.0,1410.0,475.0,0.005,3.0,800.0,2.176941244531729,36,36,122
38,145.0,1.0,1.0,142.0,475.0,0.07,1.0,400.0,2.701114971305017,146,39,126
780,913.0,1.0,1.0,1410.0,475.0,0.07,1.0,400.0,2.1715411353257634,146,13,126
213,337.0,1.0,1.0,356.0,475.0,0.07,1.0,400.0,2.2928506683335828,146,22,126
604,721.0,1.0,1.0,1068.0,475.0,0.07,1.0,400.0,2.206052384800868,146,29,126
406,529.0,1.0,1.0,712.0,475.0,0.07,1.0,400.0,2.2105615869341944,146,23,126
769,891.0,1.0,1.0,1410.0,475.0,0.05,1.0,800.0,2.163952709460171,124,2,130
207,315.0,1.0,1.0,356.0,475.0,0.05,1.0,800.0,2.290485853816732,124,16,130
64,123.0,1.0,1.0,142.0,475.0,0.05,1.0,800.0,2.7224505956266736,124,65,130
407,507.0,1.0,1.0,712.0,475.0,0.05,1.0,800.0,2.2105960667355022,124,24,130
598,699.0,1.0,1.0,1068.0,475.0,0.05,1.0,800.0,2.2035425701850566,124,23,130
32,62.0,1.0,1.0,142.0,475.0,0.007,4.0,600.0,2.698298563595509,63,33,131
398,446.0,1.0,1.0,712.0,475.0,0.007,4.0,600.0,2.207110164259773,63,15,131
582,638.0,1.0,1.0,1068.0,475.0,0.007,4.0,600.0,2.192883184282507,63,7,131
228,254.0,1.0,1.0,356.0,475.0,0.007,4.0,600.0,2.304635407505232,63,37,131
806,830.0,1.0,1.0,1410.0,475.0,0.007,4.0,600.0,2.1780872441636,63,39,131
794,838.0,1.0,1.0,1410.0,475.0,0.007,6.0,600.0,2.174337441803228,71,27,134
221,262.0,1.0,1.0,356.0,475.0,0.007,6.0,600.0,2.3001062309552447,71,30,134
