,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
1619,19,19.0,1.0,1.0,142.0,475.0,0.01,1.0,2.0,600.0,0.997,1.0,82.4341981850028
1628,28,28.0,1.0,1.0,142.0,475.0,0.01,1.0,3.0,600.0,0.995,1.0,82.81067560195876
1629,29,29.0,1.0,1.0,142.0,475.0,0.01,1.0,3.0,600.0,0.997,1.0,82.32841904433849
2411,11,11.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.99,1.0,81.90378066282639
2412,12,12.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.993,1.0,81.91784135494882
2414,14,14.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.997,1.0,82.86418629915421
2417,17,17.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,82.46397083363775
2421,21,21.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,82.77112807665739
3210,10,10.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,400.0,0.97,1.0,81.91613580529224
3215,15,15.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,600.0,0.97,1.0,81.91611555388745
2581,181,181.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,75.7836159134881
2582,182,182.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,400.0,0.993,1.0,75.81015331237592
2583,183,183.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,75.8842779826999
2586,186,186.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,75.3931322962785
2587,187,187.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,600.0,0.993,1.0,75.68267383701736
2591,191,191.0,1.0,1.0,356.0,475.0,0.03,1.0,4.0,400.0,0.99,1.0,75.67306329973397
2596,196,196.0,1.0,1.0,356.0,475.0,0.03,1.0,4.0,600.0,0.99,1.0,75.76109503189832
3380,180,180.0,1.0,1.0,356.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,75.7723052066
3390,190,190.0,1.0,1.0,356.0,475.0,0.07,1.0,4.0,400.0,0.97,1.0,75.86892720538367
3395,195,195.0,1.0,1.0,356.0,475.0,0.07,1.0,4.0,600.0,0.97,1.0,75.63988118675152
2743,343,343.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,74.05398924221167
2744,344,344.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,400.0,0.997,1.0,74.07600375649912
2751,351,351.0,1.0,1.0,712.0,475.0,0.03,1.0,4.0,400.0,0.99,1.0,73.80027931152377
2754,354,354.0,1.0,1.0,712.0,475.0,0.03,1.0,4.0,400.0,0.997,1.0,73.24543404214197
2756,356,356.0,1.0,1.0,712.0,475.0,0.03,1.0,4.0,600.0,0.99,1.0,73.96165536976541
2759,359,359.0,1.0,1.0,712.0,475.0,0.03,1.0,4.0,600.0,0.997,1.0,73.74213460683286
2814,414,414.0,1.0,1.0,712.0,475.0,0.03,3.0,2.0,400.0,0.997,1.0,73.72072606060887
2824,424,424.0,1.0,1.0,712.0,475.0,0.03,3.0,3.0,400.0,0.997,1.0,73.96874149592142
2864,464,464.0,1.0,1.0,712.0,475.0,0.03,4.0,3.0,400.0,0.997,1.0,73.67476530912649
3551,351,351.0,1.0,1.0,712.0,475.0,0.07,1.0,4.0,400.0,0.99,1.0,73.67188796819062
2226,626,626.0,1.0,1.0,1068.0,475.0,0.01,4.0,3.0,600.0,0.99,1.0,72.11596085468477
2237,637,637.0,1.0,1.0,1068.0,475.0,0.01,4.0,4.0,600.0,0.993,1.0,72.05385966577653
2238,638,638.0,1.0,1.0,1068.0,475.0,0.01,4.0,4.0,600.0,0.995,1.0,72.143918618858
2239,639,639.0,1.0,1.0,1068.0,475.0,0.01,4.0,4.0,600.0,0.997,1.0,72.08340631345251
3014,614,614.0,1.0,1.0,1068.0,475.0,0.03,4.0,2.0,400.0,0.997,1.0,71.83490132080718
3023,623,623.0,1.0,1.0,1068.0,475.0,0.03,4.0,3.0,400.0,0.995,1.0,71.73871151457274
3024,624,624.0,1.0,1.0,1068.0,475.0,0.03,4.0,3.0,400.0,0.997,1.0,71.5897395410141
3032,632,632.0,1.0,1.0,1068.0,475.0,0.03,4.0,4.0,400.0,0.993,1.0,71.93302762339961
3033,633,633.0,1.0,1.0,1068.0,475.0,0.03,4.0,4.0,400.0,0.995,1.0,71.25649811853485
3034,634,634.0,1.0,1.0,1068.0,475.0,0.03,4.0,4.0,400.0,0.997,1.0,71.61936974581414
2377,777,777.0,1.0,1.0,1410.0,475.0,0.01,4.0,2.0,600.0,0.993,1.0,70.6090178088254
2378,778,778.0,1.0,1.0,1410.0,475.0,0.01,4.0,2.0,600.0,0.995,1.0,70.54170589682394
2385,785,785.0,1.0,1.0,1410.0,475.0,0.01,4.0,3.0,600.0,0.97,1.0,70.49446514476122
2386,786,786.0,1.0,1.0,1410.0,475.0,0.01,4.0,3.0,600.0,0.99,1.0,70.39378167995058
2395,795,795.0,1.0,1.0,1410.0,475.0,0.01,4.0,4.0,600.0,0.97,1.0,70.22063482059527
2396,796,796.0,1.0,1.0,1410.0,475.0,0.01,4.0,4.0,600.0,0.99,1.0,70.26340746604706
2398,798,798.0,1.0,1.0,1410.0,475.0,0.01,4.0,4.0,600.0,0.995,1.0,70.58380922979003
3174,774,774.0,1.0,1.0,1410.0,475.0,0.03,4.0,2.0,400.0,0.997,1.0,70.31449022863727
3184,784,784.0,1.0,1.0,1410.0,475.0,0.03,4.0,3.0,400.0,0.997,1.0,70.27340713744768
3193,793,793.0,1.0,1.0,1410.0,475.0,0.03,4.0,4.0,400.0,0.995,1.0,70.58989396859398
