,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
594,665.0,1.0,1.0,953.0,424.0,0.01,5.0,400.0,3.7275460542584975,90,19,92
395,473.0,1.0,1.0,635.0,424.0,0.01,5.0,400.0,3.7576269071839,90,12,92
43,89.0,1.0,1.0,127.0,424.0,0.01,5.0,400.0,4.3867988461618,90,44,92
208,281.0,1.0,1.0,317.0,424.0,0.01,5.0,400.0,3.904186735859091,90,17,92
196,238.0,1.0,1.0,317.0,424.0,0.005,6.0,600.0,3.89878270784576,47,5,97
386,430.0,1.0,1.0,635.0,424.0,0.005,6.0,600.0,3.74627135342712,47,3,97
636,622.0,1.0,1.0,953.0,424.0,0.005,6.0,600.0,3.751460444137749,47,61,97
27,46.0,1.0,1.0,127.0,424.0,0.005,6.0,600.0,4.325391367972373,47,28,97
203,234.0,1.0,1.0,317.0,424.0,0.005,5.0,600.0,3.9014773696749314,43,12,98
392,426.0,1.0,1.0,635.0,424.0,0.005,5.0,600.0,3.753950303145876,43,9,98
24,42.0,1.0,1.0,127.0,424.0,0.005,5.0,600.0,4.324927342148533,43,25,98
627,618.0,1.0,1.0,953.0,424.0,0.005,5.0,600.0,3.743142522114937,43,52,98
41,43.0,1.0,1.0,127.0,424.0,0.005,5.0,800.0,4.386739633408497,44,42,99
398,427.0,1.0,1.0,635.0,424.0,0.005,5.0,800.0,3.762566338421992,44,15,99
595,619.0,1.0,1.0,953.0,424.0,0.005,5.0,800.0,3.729568038910637,44,20,99
213,235.0,1.0,1.0,317.0,424.0,0.005,5.0,800.0,3.905677254977985,44,22,99
615,623.0,1.0,1.0,953.0,424.0,0.005,6.0,800.0,3.737396557721907,48,40,100
199,239.0,1.0,1.0,317.0,424.0,0.005,6.0,800.0,3.899676891030151,48,8,100
389,431.0,1.0,1.0,635.0,424.0,0.005,6.0,800.0,3.7487751863422942,48,6,100
45,47.0,1.0,1.0,127.0,424.0,0.005,6.0,800.0,4.387078530922491,48,46,100
211,285.0,1.0,1.0,317.0,424.0,0.01,6.0,400.0,3.9044482038886583,94,20,101
388,477.0,1.0,1.0,635.0,424.0,0.01,6.0,400.0,3.747874350288895,94,5,101
603,669.0,1.0,1.0,953.0,424.0,0.01,6.0,400.0,3.7325535343863736,94,28,101
47,93.0,1.0,1.0,127.0,424.0,0.01,6.0,400.0,4.387559664504123,94,48,101
193,261.0,1.0,1.0,317.0,424.0,0.007,6.0,400.0,3.89654076910952,70,2,103
393,454.0,1.0,1.0,635.0,424.0,0.007,6.0,600.0,3.755025577151685,71,10,103
611,646.0,1.0,1.0,953.0,424.0,0.007,6.0,600.0,3.7363588989500274,71,36,103
195,262.0,1.0,1.0,317.0,424.0,0.007,6.0,600.0,3.897716056658533,71,4,103
19,69.0,1.0,1.0,127.0,424.0,0.007,6.0,400.0,4.3041909763499335,70,20,103
52,70.0,1.0,1.0,127.0,424.0,0.007,6.0,600.0,4.388949165458358,71,53,103
652,645.0,1.0,1.0,953.0,424.0,0.007,6.0,400.0,3.7630143368202913,70,77,103
