,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
7,7.0,1.0,1.0,127.0,424.0,0.003,2.0,800.0,1.7537895619327086
11,11.0,1.0,1.0,127.0,424.0,0.003,3.0,800.0,1.7538054128738527
15,15.0,1.0,1.0,127.0,424.0,0.003,4.0,800.0,1.7541959682541863
19,19.0,1.0,1.0,127.0,424.0,0.003,5.0,800.0,1.7536644352445734
23,23.0,1.0,1.0,127.0,424.0,0.003,6.0,800.0,1.75412405729299
33,33.0,1.0,1.0,127.0,424.0,0.005,3.0,400.0,1.756020042544418
45,45.0,1.0,1.0,127.0,424.0,0.005,6.0,400.0,1.7570747939035
80,80.0,1.0,1.0,127.0,424.0,0.01,3.0,200.0,1.7563115300902137
84,84.0,1.0,1.0,127.0,424.0,0.01,4.0,200.0,1.75661245267286
88,88.0,1.0,1.0,127.0,424.0,0.01,5.0,200.0,1.7569721863292924
223,223.0,1.0,1.0,317.0,424.0,0.005,2.0,800.0,1.35352573251297
230,230.0,1.0,1.0,317.0,424.0,0.005,4.0,600.0,1.3528587422178753
231,231.0,1.0,1.0,317.0,424.0,0.005,4.0,800.0,1.351607135024319
246,246.0,1.0,1.0,317.0,424.0,0.007,2.0,600.0,1.351619151946257
247,247.0,1.0,1.0,317.0,424.0,0.007,2.0,800.0,1.34814190630191
254,254.0,1.0,1.0,317.0,424.0,0.007,4.0,600.0,1.352633647193214
269,269.0,1.0,1.0,317.0,424.0,0.01,2.0,400.0,1.352624579935786
270,270.0,1.0,1.0,317.0,424.0,0.01,2.0,600.0,1.3486182330822194
277,277.0,1.0,1.0,317.0,424.0,0.01,4.0,400.0,1.3514334911440766
292,292.0,1.0,1.0,317.0,424.0,0.03,2.0,200.0,1.3471699667338928
423,423.0,1.0,1.0,635.0,424.0,0.005,4.0,800.0,1.2853916747606848
427,427.0,1.0,1.0,635.0,424.0,0.005,5.0,800.0,1.283017701576103
431,431.0,1.0,1.0,635.0,424.0,0.005,6.0,800.0,1.2861584641716062
446,446.0,1.0,1.0,635.0,424.0,0.007,4.0,600.0,1.2842446195926809
447,447.0,1.0,1.0,635.0,424.0,0.007,4.0,800.0,1.2872691209610143
450,450.0,1.0,1.0,635.0,424.0,0.007,5.0,600.0,1.282241390421102
469,469.0,1.0,1.0,635.0,424.0,0.01,4.0,400.0,1.2838501201372134
473,473.0,1.0,1.0,635.0,424.0,0.01,5.0,400.0,1.2825571798276527
477,477.0,1.0,1.0,635.0,424.0,0.01,6.0,400.0,1.283940008858686
492,492.0,1.0,1.0,635.0,424.0,0.03,4.0,200.0,1.286007890808698
639,639.0,1.0,1.0,953.0,424.0,0.007,4.0,800.0,1.2469008182762369
662,662.0,1.0,1.0,953.0,424.0,0.01,4.0,600.0,1.2452414952408568
663,663.0,1.0,1.0,953.0,424.0,0.01,4.0,800.0,1.2495105212161526
684,684.0,1.0,1.0,953.0,424.0,0.03,4.0,200.0,1.2451670452069643
699,699.0,1.0,1.0,953.0,424.0,0.05,1.0,800.0,1.2514985097218037
722,722.0,1.0,1.0,953.0,424.0,0.07,1.0,600.0,1.2502868475368756
723,723.0,1.0,1.0,953.0,424.0,0.07,1.0,800.0,1.2495889208183453
745,745.0,1.0,1.0,953.0,424.0,0.1,1.0,400.0,1.244085799070089
746,746.0,1.0,1.0,953.0,424.0,0.1,1.0,600.0,1.2414668568880736
747,747.0,1.0,1.0,953.0,424.0,0.1,1.0,800.0,1.2422507943071246
855,855.0,1.0,1.0,1258.0,424.0,0.01,4.0,800.0,1.2162039878459423
876,876.0,1.0,1.0,1258.0,424.0,0.03,4.0,200.0,1.218493146005033
877,877.0,1.0,1.0,1258.0,424.0,0.03,4.0,400.0,1.20873767472019
878,878.0,1.0,1.0,1258.0,424.0,0.03,4.0,600.0,1.2113144462848358
879,879.0,1.0,1.0,1258.0,424.0,0.03,4.0,800.0,1.217912246543727
900,900.0,1.0,1.0,1258.0,424.0,0.05,4.0,200.0,1.2157131521839295
901,901.0,1.0,1.0,1258.0,424.0,0.05,4.0,400.0,1.2175382348786297
920,920.0,1.0,1.0,1258.0,424.0,0.07,3.0,200.0,1.2138622072903051
924,924.0,1.0,1.0,1258.0,424.0,0.07,4.0,200.0,1.2135627438245655
948,948.0,1.0,1.0,1258.0,424.0,0.1,4.0,200.0,1.217638892832648
