,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
2444,44,44.0,1.0,1.0,127.0,424.0,0.03,2.0,1.0,400.0,0.997,1.0,34.49477068369481
2484,84,84.0,1.0,1.0,127.0,424.0,0.03,3.0,1.0,400.0,0.997,1.0,34.30583277679253
2489,89,89.0,1.0,1.0,127.0,424.0,0.03,3.0,1.0,600.0,0.997,1.0,34.38172663698129
2524,124,124.0,1.0,1.0,127.0,424.0,0.03,4.0,1.0,400.0,0.997,1.0,34.28836817729084
2529,129,129.0,1.0,1.0,127.0,424.0,0.03,4.0,1.0,600.0,0.997,1.0,34.411083091582086
3243,43,43.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,400.0,0.995,1.0,34.55435867855185
3244,44,44.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,400.0,0.997,1.0,34.45564420884451
3283,83,83.0,1.0,1.0,127.0,424.0,0.07,3.0,1.0,400.0,0.995,1.0,34.56197340919087
3284,84,84.0,1.0,1.0,127.0,424.0,0.07,3.0,1.0,400.0,0.997,1.0,34.5021149643945
3324,124,124.0,1.0,1.0,127.0,424.0,0.07,4.0,1.0,400.0,0.997,1.0,34.537575129197734
2561,161,161.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,400.0,0.99,1.0,31.844106572413462
2562,162,162.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,400.0,0.993,1.0,31.91799485621516
2563,163,163.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,400.0,0.995,1.0,31.957969196698443
2566,166,166.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,600.0,0.99,1.0,31.97799920112756
2567,167,167.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,600.0,0.993,1.0,32.03504355266523
2568,168,168.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,600.0,0.995,1.0,32.06005615041287
2569,169,169.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,600.0,0.997,1.0,32.1144341227098
