,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
35,35.0,1.0,1.0,127.0,424.0,0.005,3.0,800.0,40.09802918047724
39,39.0,1.0,1.0,127.0,424.0,0.005,4.0,800.0,40.15369290277374
43,43.0,1.0,1.0,127.0,424.0,0.005,5.0,800.0,40.147474247035085
47,47.0,1.0,1.0,127.0,424.0,0.005,6.0,800.0,40.145781065989866
58,58.0,1.0,1.0,127.0,424.0,0.007,3.0,600.0,40.157614065048605
62,62.0,1.0,1.0,127.0,424.0,0.007,4.0,600.0,40.1973823282263
81,81.0,1.0,1.0,127.0,424.0,0.01,3.0,400.0,40.135932450916926
85,85.0,1.0,1.0,127.0,424.0,0.01,4.0,400.0,40.16811670255483
89,89.0,1.0,1.0,127.0,424.0,0.01,5.0,400.0,40.17271253091291
93,93.0,1.0,1.0,127.0,424.0,0.01,6.0,400.0,40.17282626728522
223,223.0,1.0,1.0,317.0,424.0,0.005,2.0,800.0,33.458434731801624
246,246.0,1.0,1.0,317.0,424.0,0.007,2.0,600.0,33.45991318593261
247,247.0,1.0,1.0,317.0,424.0,0.007,2.0,800.0,33.5078776355966
267,267.0,1.0,1.0,317.0,424.0,0.01,1.0,800.0,33.53909998062964
269,269.0,1.0,1.0,317.0,424.0,0.01,2.0,400.0,33.44841594128427
270,270.0,1.0,1.0,317.0,424.0,0.01,2.0,600.0,33.504223933365125
289,289.0,1.0,1.0,317.0,424.0,0.03,1.0,400.0,33.616194857515
292,292.0,1.0,1.0,317.0,424.0,0.03,2.0,200.0,33.54892426140015
312,312.0,1.0,1.0,317.0,424.0,0.05,1.0,200.0,33.58699440193061
336,336.0,1.0,1.0,317.0,424.0,0.07,1.0,200.0,33.53923208743812
438,438.0,1.0,1.0,635.0,424.0,0.007,2.0,600.0,31.29439867528733
439,439.0,1.0,1.0,635.0,424.0,0.007,2.0,800.0,31.269388722692245
461,461.0,1.0,1.0,635.0,424.0,0.01,2.0,400.0,31.30955512735148
462,462.0,1.0,1.0,635.0,424.0,0.01,2.0,600.0,31.28851806011261
481,481.0,1.0,1.0,635.0,424.0,0.03,1.0,400.0,31.17121979078203
482,482.0,1.0,1.0,635.0,424.0,0.03,1.0,600.0,31.21538947663048
484,484.0,1.0,1.0,635.0,424.0,0.03,2.0,200.0,31.303605730901
488,488.0,1.0,1.0,635.0,424.0,0.03,3.0,200.0,31.306308904193436
528,528.0,1.0,1.0,635.0,424.0,0.07,1.0,200.0,31.07773337742216
552,552.0,1.0,1.0,635.0,424.0,0.1,1.0,200.0,31.298815272483385
635,635.0,1.0,1.0,953.0,424.0,0.007,3.0,800.0,30.058911260762773
638,638.0,1.0,1.0,953.0,424.0,0.007,4.0,600.0,30.04531356141321
639,639.0,1.0,1.0,953.0,424.0,0.007,4.0,800.0,30.041228429103136
658,658.0,1.0,1.0,953.0,424.0,0.01,3.0,600.0,30.00552250811594
661,661.0,1.0,1.0,953.0,424.0,0.01,4.0,400.0,30.03472530534331
662,662.0,1.0,1.0,953.0,424.0,0.01,4.0,600.0,29.927612442955247
663,663.0,1.0,1.0,953.0,424.0,0.01,4.0,800.0,29.840786789759782
680,680.0,1.0,1.0,953.0,424.0,0.03,3.0,200.0,30.019906650489474
704,704.0,1.0,1.0,953.0,424.0,0.05,3.0,200.0,30.074852734507516
708,708.0,1.0,1.0,953.0,424.0,0.05,4.0,200.0,30.060853537348944
807,807.0,1.0,1.0,1258.0,424.0,0.005,4.0,800.0,29.999494955992
830,830.0,1.0,1.0,1258.0,424.0,0.007,4.0,600.0,29.989412920844536
831,831.0,1.0,1.0,1258.0,424.0,0.007,4.0,800.0,29.87369615342546
835,835.0,1.0,1.0,1258.0,424.0,0.007,5.0,800.0,29.99878126699189
853,853.0,1.0,1.0,1258.0,424.0,0.01,4.0,400.0,30.0446804479741
854,854.0,1.0,1.0,1258.0,424.0,0.01,4.0,600.0,29.826660802043023
855,855.0,1.0,1.0,1258.0,424.0,0.01,4.0,800.0,30.003300621935143
858,858.0,1.0,1.0,1258.0,424.0,0.01,5.0,600.0,30.05457939376165
876,876.0,1.0,1.0,1258.0,424.0,0.03,4.0,200.0,29.84217065055632
880,880.0,1.0,1.0,1258.0,424.0,0.03,5.0,200.0,30.056915964422423
